City,Date,AQI,AQI_Bucket
Delhi,01-01-2015,472.0,Very Poor
Delhi,02-01-2015,454.0,Very Poor
Delhi,03-01-2015,143.0,Moderate
Delhi,04-01-2015,319.0,Very Poor
Delhi,05-01-2015,325.0,Very Poor
Delhi,06-01-2015,318.0,Very Poor
Delhi,07-01-2015,353.0,Very Poor
Delhi,08-01-2015,383.0,Very Poor
Delhi,09-01-2015,375.0,Very Poor
Delhi,10-01-2015,376.0,Very Poor
Delhi,11-01-2015,379.0,Very Poor
Delhi,12-01-2015,375.0,Very Poor
Delhi,13-01-2015,366.0,Very Poor
Delhi,14-01-2015,353.0,Very Poor
Delhi,15-01-2015,340.0,Very Poor
Delhi,16-01-2015,356.0,Very Poor
Delhi,17-01-2015,360.0,Very Poor
Delhi,18-01-2015,370.0,Very Poor
Delhi,19-01-2015,362.0,Very Poor
Delhi,20-01-2015,340.0,Very Poor
Delhi,21-01-2015,338.0,Very Poor
Delhi,22-01-2015,332.0,Very Poor
Delhi,23-01-2015,254.0,Poor
Delhi,24-01-2015,324.0,Very Poor
Delhi,25-01-2015,333.0,Very Poor
Delhi,26-01-2015,292.0,Poor
Delhi,27-01-2015,318.0,Very Poor
Delhi,28-01-2015,295.0,Poor
Delhi,29-01-2015,327.0,Very Poor
Delhi,30-01-2015,345.0,Very Poor
Delhi,31-01-2015,334.0,Very Poor
Delhi,01-02-2015,358.0,Very Poor
Delhi,02-02-2015,349.0,Very Poor
Delhi,03-02-2015,334.0,Very Poor
Delhi,04-02-2015,313.0,Very Poor
Delhi,05-02-2015,262.0,Poor
Delhi,06-02-2015,303.0,Very Poor
Delhi,07-02-2015,329.0,Very Poor
Delhi,08-02-2015,323.0,Very Poor
Delhi,09-02-2015,266.0,Poor
Delhi,10-02-2015,319.0,Very Poor
Delhi,11-02-2015,334.0,Very Poor
Delhi,12-02-2015,342.0,Very Poor
Delhi,13-02-2015,341.0,Very Poor
Delhi,14-02-2015,377.0,Very Poor
Delhi,15-02-2015,391.0,Very Poor
Delhi,16-02-2015,358.0,Very Poor
Delhi,17-02-2015,327.0,Very Poor
Delhi,18-02-2015,365.0,Very Poor
Delhi,19-02-2015,352.0,Very Poor
Delhi,20-02-2015,317.0,Very Poor
Delhi,21-02-2015,320.0,Very Poor
Delhi,22-02-2015,279.0,Poor
Delhi,23-02-2015,281.0,Poor
Delhi,24-02-2015,354.0,Very Poor
Delhi,25-02-2015,340.0,Very Poor
Delhi,26-02-2015,323.0,Very Poor
Delhi,27-02-2015,315.0,Very Poor
Delhi,28-02-2015,310.0,Very Poor
Delhi,01-03-2015,324.0,Very Poor
Delhi,02-03-2015,226.0,Poor
Delhi,03-03-2015,266.0,Poor
Delhi,04-03-2015,200.0,Poor
Delhi,05-03-2015,275.0,Poor
Delhi,06-03-2015,322.0,Very Poor
Delhi,07-03-2015,216.0,Poor
Delhi,08-03-2015,108.0,Moderate
Delhi,09-03-2015,197.0,Moderate
Delhi,10-03-2015,238.0,Poor
Delhi,11-03-2015,274.0,Poor
Delhi,12-03-2015,315.0,Very Poor
Delhi,13-03-2015,307.0,Very Poor
Delhi,14-03-2015,208.0,Poor
Delhi,15-03-2015,165.0,Moderate
Delhi,16-03-2015,188.0,Moderate
Delhi,17-03-2015,217.0,Poor
Delhi,18-03-2015,191.0,Moderate
Delhi,19-03-2015,240.0,Poor
Delhi,20-03-2015,229.0,Poor
Delhi,21-03-2015,248.0,Poor
Delhi,22-03-2015,204.0,Poor
Delhi,23-03-2015,271.0,Poor
Delhi,24-03-2015,290.0,Poor
Delhi,25-03-2015,340.0,Very Poor
Delhi,26-03-2015,358.0,Very Poor
Delhi,27-03-2015,287.0,Poor
Delhi,28-03-2015,323.0,Very Poor
Delhi,29-03-2015,360.0,Very Poor
Delhi,30-03-2015,268.0,Poor
Delhi,31-03-2015,283.0,Poor
Delhi,01-04-2015,309.0,Very Poor
Delhi,02-04-2015,249.0,Poor
Delhi,03-04-2015,245.0,Poor
Delhi,04-04-2015,229.0,Poor
Delhi,05-04-2015,234.0,Poor
Delhi,06-04-2015,343.0,Very Poor
Delhi,07-04-2015,262.0,Poor
Delhi,08-04-2015,308.0,Very Poor
Delhi,09-04-2015,293.0,Poor
Delhi,10-04-2015,290.0,Poor
Delhi,11-04-2015,375.0,Very Poor
Delhi,12-04-2015,293.0,Poor
Delhi,13-04-2015,247.0,Poor
Delhi,14-04-2015,232.0,Poor
Delhi,15-04-2015,316.0,Very Poor
Delhi,16-04-2015,295.0,Poor
Delhi,17-04-2015,246.0,Poor
Delhi,18-04-2015,378.0,Very Poor
Delhi,19-04-2015,406.0,Very Poor
Delhi,20-04-2015,392.0,Very Poor
Delhi,21-04-2015,391.0,Very Poor
Delhi,22-04-2015,368.0,Very Poor
Delhi,23-04-2015,365.0,Very Poor
Delhi,24-04-2015,383.0,Very Poor
Delhi,25-04-2015,367.0,Very Poor
Delhi,26-04-2015,334.0,Very Poor
Delhi,27-04-2015,258.0,Poor
Delhi,28-04-2015,234.0,Poor
Delhi,29-04-2015,257.0,Poor
Delhi,30-04-2015,259.0,Poor
Delhi,01-05-2015,279.0,Poor
Delhi,02-05-2015,312.0,Very Poor
Delhi,03-05-2015,372.0,Very Poor
Delhi,04-05-2015,387.0,Very Poor
Delhi,05-05-2015,408.0,Very Poor
Delhi,06-05-2015,398.0,Very Poor
Delhi,07-05-2015,403.0,Very Poor
Delhi,08-05-2015,361.0,Very Poor
Delhi,09-05-2015,378.0,Very Poor
Delhi,10-05-2015,381.0,Very Poor
