country,year,co2
Armenia,1830,0.0
Armenia,1952,1.783
Armenia,1953,1.885
Armenia,1954,2.057
Armenia,1955,2.333
Armenia,1956,2.56
Armenia,1957,2.802
Armenia,1958,2.993
Armenia,1959,3.147
Armenia,1960,3.277
Armenia,1951,1.665
Armenia,1961,3.383
Armenia,1963,3.818
Armenia,1964,4.065
Armenia,1965,4.314
Armenia,1966,4.558
Armenia,1967,4.771
Armenia,1968,4.911
Armenia,1969,5.118
Armenia,1970,5.382
Armenia,1971,5.722
Armenia,1962,3.556
Armenia,1973,6.29
Armenia,1950,1.538
Armenia,1948,1.216
Armenia,1928,0.242
Armenia,1929,0.261
Armenia,1930,0.356
Armenia,1931,0.428
Armenia,1932,0.482
Armenia,1933,0.539
Armenia,1934,0.651
Armenia,1935,0.736
Armenia,1936,0.842
Armenia,1949,1.382
Armenia,1937,0.862
Armenia,1939,0.922
Armenia,1940,1.105
Armenia,1941,0.971
Armenia,1942,0.532
Armenia,1943,0.556
Armenia,1944,0.806
Armenia,1945,0.849
Armenia,1946,0.952
Armenia,1947,1.145
Armenia,1938,0.91
Armenia,1927,0.22
Armenia,1974,6.539
Armenia,1976,7.148
Armenia,2001,3.533
Armenia,2002,3.077
Armenia,2003,3.456
Armenia,2004,3.691
Armenia,2005,4.376
Armenia,2006,4.402
Armenia,2007,5.1
Armenia,2008,5.575
Armenia,2009,4.363
Armenia,2000,3.491
Armenia,2010,4.253
Armenia,2012,5.748
Armenia,2013,5.535
Armenia,2014,5.604
Armenia,2015,5.469
Armenia,2016,5.203
Armenia,2017,5.537
Armenia,2018,5.826
Armenia,2019,5.529
Armenia,2020,5.89
Armenia,2011,4.969
Armenia,1975,6.881
Armenia,1999,3.05
Armenia,1997,3.269
Armenia,1977,7.394
Armenia,1978,7.653
Armenia,1979,7.716
Armenia,1980,8.018
Armenia,1981,7.878
Armenia,1982,8.028
Armenia,1983,8.148
Armenia,1984,8.224
Armenia,1985,8.862
Armenia,1998,3.397
Armenia,1986,8.439
Armenia,1988,9.425
Armenia,1989,9.523
Armenia,1990,8.962
Armenia,1991,7.288
Armenia,1992,5.863
Armenia,1993,2.575
Armenia,1994,2.713
Armenia,1995,3.433
Armenia,1996,2.595
Armenia,1987,8.369
Armenia,1926,0.177
Armenia,1972,6.027
Armenia,1924,0.124
Armenia,1856,0.001
Armenia,1857,0.001
Armenia,1858,0.001
Armenia,1859,0.001
Armenia,1860,0.002
Armenia,1861,0.002
Armenia,1862,0.002
Armenia,1863,0.002
Armenia,1864,0.002
Armenia,1855,0.001
Armenia,1865,0.002
Armenia,1867,0.007
Armenia,1868,0.006
Armenia,1869,0.008
Armenia,1870,0.009
Armenia,1871,0.012
Armenia,1872,0.012
Armenia,1873,0.012
Armenia,1874,0.014
Armenia,1875,0.016
Armenia,1866,0.006
Armenia,1854,0.0008
Armenia,1853,0.0006
Armenia,1852,0.0004
Armenia,1925,0.122
Armenia,1832,0.0
Armenia,1833,0.0
Armenia,1834,0.0
Armenia,1835,0.0
Armenia,1836,0.0
Armenia,1837,0.0
Armenia,1838,0.0
Armenia,1839,0.0
Armenia,1840,0.0
Armenia,1841,0.0
Armenia,1842,0.0
Armenia,1843,0.0
Armenia,1844,0.0
Armenia,1845,0.0
Armenia,1846,0.0
Armenia,1847,0.0
Armenia,1848,0.0
Armenia,1849,0.0
Armenia,1850,0.0
Armenia,1851,0.0002
Armenia,1876,0.02
Armenia,1877,0.02
Armenia,1831,0.0
Armenia,1911,0.229
Armenia,1903,0.167
Armenia,1904,0.186
Armenia,1906,0.189
Armenia,1907,0.212
Armenia,1908,0.214
Armenia,1909,0.225
Armenia,1910,0.221
Armenia,1878,0.027
Armenia,1912,0.26
Armenia,1902,0.171
Armenia,1913,0.282
Armenia,1915,0.234
Armenia,1916,0.249
Armenia,1917,0.229
Armenia,1918,0.091
Armenia,1919,0.078
Armenia,1920,0.071
Armenia,1921,0.077
Armenia,1922,0.094
Armenia,1923,0.104
Armenia,1914,0.255
Armenia,1901,0.177
Armenia,1905,0.166
Armenia,1899,0.152
