dt,AverageTemperature
1796-01-01,
1796-02-01,2.149000000000001
1796-03-01,3.1260000000000012
1796-04-01,4.913999999999998
1796-05-01,2.8019999999999996
1796-06-01,-0.7740000000000009
1796-07-01,-2.4609999999999985
1796-08-01,-0.24199999999999733
1796-09-01,-0.600000000000005
1796-10-01,-1.9269999999999996
1796-11-01,-3.844999999999999
1796-12-01,-4.7010000000000005
1797-01-01,2.464666666666666
1797-02-01,2.464666666666666
1797-03-01,2.4646666666666697
1797-04-01,3.6229999999999976
1797-05-01,2.862000000000002
1797-06-01,0.5159999999999982
1797-07-01,-2.9890000000000008
1797-08-01,-0.17499999999999716
1797-09-01,-0.6440000000000019
1797-10-01,-2.4019999999999975
1797-11-01,-4.347000000000001
1797-12-01,-2.221
1798-01-01,0.12400000000000588
1798-02-01,2.2989999999999924
1798-03-01,4.803000000000004
1798-04-01,1.6803333333333335
1798-05-01,1.6803333333333264
1798-06-01,1.680333333333337
1798-07-01,-1.4009999999999962
1798-08-01,-0.9590000000000032
1798-09-01,-1.0359999999999978
1798-10-01,-2.0749999999999993
1798-11-01,-3.1890000000000036
1798-12-01,-3.9810000000000016
1799-01-01,-0.0799999999999983
1799-02-01,1.3279999999999994
1799-04-01,4.916
1799-05-01,2.221
1799-06-01,-0.3569999999999993
1799-07-01,-2.6819999999999986
1799-08-01,-0.5040000000000013
1799-09-01,-0.5689999999999991
1799-10-01,-1.5079999999999991
1799-11-01,-4.439
1799-12-01,-3.2540000000000013
1800-01-01,0.1769999999999996
1800-02-01,2.6990000000000016
1800-03-01,3.1579999999999977
1800-05-01,0.9140000000000015
1800-06-01,-0.11100000000000065
1800-07-01,-2.7669999999999995
1800-08-01,-0.42499999999999005
1800-09-01,-1.070000000000011
1800-10-01,-0.6809999999999974
1800-11-01,-3.6930000000000014
1800-12-01,-3.076999999999998
1801-01-01,-0.11500000000000199
1801-02-01,1.4349999999999987
1801-04-01,1.1893333333333338
1801-05-01,1.1893333333333338
1801-06-01,1.1893333333333338
1801-07-01,-1.3800000000000026
1801-08-01,-1.196999999999992
1801-09-01,-0.47700000000000387
1801-10-01,-1.5970000000000013
