City,Date,AQI,AQI_Bucket
Kolkata,10-04-2018,60.5,Satisfactory
Kolkata,11-04-2018,73.0,Satisfactory
Kolkata,12-04-2018,60.0,Satisfactory
Kolkata,13-04-2018,74.0,Satisfactory
Kolkata,14-04-2018,83.0,Satisfactory
Kolkata,15-04-2018,95.0,Satisfactory
Kolkata,16-04-2018,88.0,Satisfactory
Kolkata,17-04-2018,69.0,Satisfactory
Kolkata,18-04-2018,69.83333333333333,Satisfactory
Kolkata,19-04-2018,70.66666666666667,Satisfactory
Kolkata,20-04-2018,71.5,Satisfactory
Kolkata,21-04-2018,72.33333333333333,Satisfactory
Kolkata,22-04-2018,73.16666666666667,Satisfactory
Kolkata,23-04-2018,74.0,Satisfactory
Kolkata,24-04-2018,74.83333333333333,Satisfactory
Kolkata,25-04-2018,75.66666666666667,Satisfactory
Kolkata,26-04-2018,76.5,Satisfactory
Kolkata,27-04-2018,77.33333333333333,Satisfactory
Kolkata,28-04-2018,78.16666666666667,Satisfactory
Kolkata,29-04-2018,79.0,Satisfactory
Kolkata,30-04-2018,79.83333333333333,Satisfactory
Kolkata,01-05-2018,80.66666666666667,Satisfactory
Kolkata,02-05-2018,81.5,Satisfactory
Kolkata,03-05-2018,82.33333333333333,Satisfactory
Kolkata,04-05-2018,83.16666666666667,Satisfactory
Kolkata,05-05-2018,84.0,Satisfactory
Kolkata,06-05-2018,84.83333333333333,Satisfactory
Kolkata,07-05-2018,85.66666666666667,Satisfactory
Kolkata,08-05-2018,86.5,Satisfactory
Kolkata,09-05-2018,87.33333333333334,Satisfactory
Kolkata,10-05-2018,88.16666666666667,Satisfactory
Kolkata,11-05-2018,89.0,Satisfactory
Kolkata,12-05-2018,89.83333333333334,Satisfactory
Kolkata,13-05-2018,90.66666666666669,Satisfactory
Kolkata,14-05-2018,91.5,Satisfactory
Kolkata,15-05-2018,92.33333333333334,Satisfactory
Kolkata,16-05-2018,93.16666666666669,Satisfactory
Kolkata,17-05-2018,94.0,Satisfactory
Kolkata,18-05-2018,94.83333333333334,Satisfactory
Kolkata,19-05-2018,95.66666666666669,Satisfactory
Kolkata,20-05-2018,96.5,Satisfactory
Kolkata,21-05-2018,97.33333333333334,Satisfactory
Kolkata,22-05-2018,98.16666666666669,Satisfactory
Kolkata,23-05-2018,99.0,Satisfactory
Kolkata,24-05-2018,99.83333333333334,Satisfactory
Kolkata,25-05-2018,100.66666666666669,Moderate
Kolkata,26-05-2018,101.5,Moderate
Kolkata,27-05-2018,102.33333333333334,Moderate
Kolkata,28-05-2018,103.16666666666669,Moderate
Kolkata,29-05-2018,104.0,Moderate
Kolkata,30-05-2018,104.83333333333334,Moderate
Kolkata,31-05-2018,105.66666666666669,Moderate
Kolkata,01-06-2018,106.5,Moderate
Kolkata,02-06-2018,107.33333333333334,Moderate
Kolkata,03-06-2018,108.16666666666669,Moderate
Kolkata,04-06-2018,109.0,Moderate
Kolkata,05-06-2018,109.83333333333334,Moderate
Kolkata,06-06-2018,110.66666666666669,Moderate
Kolkata,07-06-2018,111.5,Moderate
Kolkata,08-06-2018,112.33333333333334,Moderate
Kolkata,09-06-2018,113.16666666666669,Moderate
Kolkata,10-06-2018,114.0,Moderate
Kolkata,11-06-2018,114.83333333333334,Moderate
Kolkata,12-06-2018,115.66666666666669,Moderate
Kolkata,13-06-2018,116.5,Moderate
Kolkata,14-06-2018,117.33333333333334,Moderate
Kolkata,15-06-2018,118.16666666666669,Moderate
Kolkata,16-06-2018,119.0,Moderate
Kolkata,17-06-2018,113.0,Moderate
Kolkata,18-06-2018,107.0,Moderate
Kolkata,19-06-2018,148.0,Moderate
Kolkata,20-06-2018,94.0,Satisfactory
Kolkata,21-06-2018,100.0,Moderate
Kolkata,22-06-2018,60.0,Satisfactory
Kolkata,23-06-2018,47.0,Good
Kolkata,24-06-2018,48.0,Good
Kolkata,25-06-2018,50.0,Satisfactory
Kolkata,26-06-2018,61.0,Satisfactory
Kolkata,27-06-2018,53.0,Satisfactory
Kolkata,28-06-2018,34.0,Good
Kolkata,29-06-2018,46.0,Good
Kolkata,30-06-2018,50.0,Satisfactory
Kolkata,01-07-2018,58.0,Satisfactory
Kolkata,02-07-2018,62.0,Satisfactory
Kolkata,03-07-2018,50.0,Satisfactory
Kolkata,04-07-2018,58.0,Satisfactory
Kolkata,05-07-2018,57.0,Satisfactory
Kolkata,06-07-2018,77.0,Satisfactory
Kolkata,07-07-2018,65.0,Satisfactory
Kolkata,08-07-2018,36.0,Good
Kolkata,09-07-2018,36.0,Good
Kolkata,10-07-2018,56.0,Satisfactory
Kolkata,11-07-2018,49.0,Good
Kolkata,12-07-2018,42.0,Good
Kolkata,13-07-2018,39.0,Good
Kolkata,14-07-2018,41.0,Good
Kolkata,15-07-2018,28.0,Good
Kolkata,16-07-2018,26.0,Good
Kolkata,17-07-2018,42.0,Good
Kolkata,18-07-2018,46.0,Good
Kolkata,19-07-2018,46.0,Good
Kolkata,20-07-2018,56.0,Satisfactory
Kolkata,21-07-2018,36.0,Good
Kolkata,22-07-2018,34.0,Good
Kolkata,23-07-2018,38.0,Good
Kolkata,24-07-2018,56.0,Satisfactory
Kolkata,25-07-2018,59.0,Satisfactory
Kolkata,26-07-2018,57.0,Satisfactory
Kolkata,27-07-2018,55.0,Satisfactory
Kolkata,28-07-2018,68.0,Satisfactory
Kolkata,29-07-2018,79.0,Satisfactory
Kolkata,30-07-2018,76.0,Satisfactory
Kolkata,31-07-2018,72.0,Satisfactory
Kolkata,01-08-2018,75.0,Satisfactory
Kolkata,02-08-2018,71.0,Satisfactory
Kolkata,03-08-2018,78.0,Satisfactory
Kolkata,04-08-2018,82.0,Satisfactory
Kolkata,05-08-2018,81.0,Satisfactory
Kolkata,06-08-2018,85.0,Satisfactory
Kolkata,07-08-2018,77.0,Satisfactory
Kolkata,08-08-2018,66.0,Satisfactory
Kolkata,09-08-2018,70.0,Satisfactory
Kolkata,10-08-2018,73.0,Satisfactory
Kolkata,11-08-2018,68.0,Satisfactory
Kolkata,12-08-2018,68.0,Satisfactory
Kolkata,13-08-2018,68.0,Satisfactory
Kolkata,14-08-2018,68.0,Satisfactory
Kolkata,15-08-2018,63.0,Satisfactory
Kolkata,16-08-2018,67.0,Satisfactory
Kolkata,17-08-2018,72.0,Satisfactory
Kolkata,18-08-2018,66.0,Satisfactory
Kolkata,19-08-2018,76.0,Satisfactory
Kolkata,20-08-2018,63.0,Satisfactory
Kolkata,21-08-2018,65.0,Satisfactory
Kolkata,22-08-2018,76.0,Satisfactory
Kolkata,23-08-2018,69.0,Satisfactory
Kolkata,24-08-2018,70.0,Satisfactory
Kolkata,25-08-2018,71.0,Satisfactory
Kolkata,26-08-2018,59.0,Satisfactory
Kolkata,27-08-2018,57.0,Satisfactory
Kolkata,28-08-2018,61.0,Satisfactory
Kolkata,29-08-2018,63.0,Satisfactory
