AverageTemperature,date
14.116,1852-07-01
15.33,1852-08-01
18.74,1852-09-01
21.984,1852-10-01
24.073,1852-11-01
26.888,1852-12-01
26.953,1853-01-01
25.905,1853-02-01
24.071,1853-03-01
20.587,1853-04-01
17.231,1853-05-01
14.22,1853-06-01
14.433,1853-07-01
16.168,1853-08-01
18.835,1853-09-01
21.911,1853-10-01
24.625,1853-11-01
26.56,1853-12-01
26.809,1854-01-01
24.58,1854-02-01
22.35,1854-03-01
20.12,1854-04-01
17.891,1854-05-01
14.213,1854-06-01
14.51,1854-07-01
16.079,1854-08-01
18.653,1854-09-01
22.723,1854-10-01
24.822,1854-11-01
26.863,1854-12-01
27.088,1855-01-01
27.312,1855-02-01
24.963,1855-03-01
22.462,1855-04-01
18.276,1855-05-01
14.704,1855-06-01
13.901,1855-07-01
15.723,1855-08-01
18.81,1855-09-01
22.162,1855-10-01
24.769,1855-11-01
25.703,1855-12-01
27.85,1856-01-01
26.574,1856-02-01
25.38,1856-03-01
21.632,1856-04-01
17.296,1856-05-01
15.046,1856-06-01
13.663,1856-07-01
15.469,1856-08-01
18.399,1856-09-01
21.584,1856-10-01
24.563,1856-11-01
26.324,1856-12-01
26.932,1857-01-01
27.45,1857-02-01
24.348,1857-03-01
20.773,1857-04-01
16.54,1857-05-01
14.058,1857-06-01
14.018,1857-07-01
15.56,1857-08-01
18.557,1857-09-01
21.447,1857-10-01
24.595,1857-11-01
27.319,1857-12-01
28.915,1858-01-01
26.897,1858-02-01
25.344,1858-03-01
21.993,1858-04-01
17.485,1858-05-01
14.359,1858-06-01
13.342,1858-07-01
15.374,1858-08-01
18.215,1858-09-01
22.029,1858-10-01
25.724,1858-11-01
26.281,1858-12-01
27.374,1859-01-01
26.533,1859-02-01
24.896,1859-03-01
21.555,1859-04-01
17.574,1859-05-01
14.474,1859-06-01
13.462,1859-07-01
15.772,1859-08-01
18.278,1859-09-01
22.397,1859-10-01
25.096,1859-11-01
26.856,1859-12-01
27.78,1860-01-01
26.597,1860-02-01
24.557,1860-03-01
21.387,1860-04-01
17.483,1860-05-01
14.787,1860-06-01
14.238,1860-07-01
16.27,1860-08-01
19.429,1860-09-01
22.241,1860-10-01
24.555,1860-11-01
25.622,1860-12-01
26.297,1861-01-01
26.162,1861-02-01
25.558,1861-03-01
22.097,1861-04-01
17.496,1861-05-01
15.04,1861-06-01
13.863,1861-07-01
15.711,1861-08-01
18.693,1861-09-01
22.366,1861-10-01
25.158,1861-11-01
25.929,1861-12-01
26.864,1862-01-01
26.066,1862-02-01
25.254,1862-03-01
20.882,1862-04-01
17.757,1862-05-01
14.523,1862-06-01
14.289,1862-07-01
15.582,1862-08-01
18.829,1862-09-01
22.318,1862-10-01
25.231,1862-11-01
26.27,1862-12-01
28.044,1863-01-01
27.389,1863-02-01
25.151,1863-03-01
22.091,1863-04-01
17.994,1863-05-01
15.082,1863-06-01
14.023,1863-07-01
15.416,1863-08-01
18.27,1863-09-01
21.491,1863-10-01
24.578,1863-11-01
26.179,1863-12-01
26.997,1864-01-01
26.216,1864-02-01
24.514,1864-03-01
21.441,1864-04-01
17.672,1864-05-01
14.645,1864-06-01
14.039,1864-07-01
15.49,1864-08-01
19.049,1864-09-01
21.797,1864-10-01
24.964,1864-11-01
25.707,1864-12-01
27.451,1865-01-01
26.198,1865-02-01
24.487,1865-03-01
21.619,1865-04-01
17.126,1865-05-01
14.558,1865-06-01
13.71,1865-07-01
15.908,1865-08-01
