AverageTemperature,date
24.935,1832-01-01
24.505,1832-02-01
24.617,1832-03-01
23.99,1832-04-01
23.124,1832-05-01
22.924,1832-06-01
22.974,1832-07-01
22.741,1832-08-01
23.56,1832-09-01
24.718,1832-10-01
24.354,1832-11-01
23.861,1832-12-01
25.467,1833-01-01
25.452,1833-02-01
24.421,1833-03-01
24.282,1833-04-01
23.251,1833-05-01
23.001,1833-06-01
22.874,1833-07-01
23.824,1833-08-01
24.636,1833-09-01
24.457,1833-10-01
26.822,1833-11-01
25.727,1833-12-01
23.798,1834-01-01
24.996,1834-02-01
25.35,1834-03-01
24.184,1834-04-01
24.168,1834-05-01
22.409,1834-06-01
23.25,1834-07-01
23.568,1834-08-01
24.71,1834-09-01
24.581,1834-10-01
25.552,1834-11-01
25.595,1834-12-01
25.861,1835-01-01
25.271,1835-02-01
23.82,1835-03-01
23.654,1835-04-01
22.573,1835-05-01
21.975,1835-06-01
22.411,1835-07-01
22.891,1835-08-01
22.838,1835-09-01
24.009,1835-10-01
23.75,1835-11-01
23.397,1835-12-01
25.003,1836-01-01
24.885,1836-02-01
25.204,1836-03-01
23.345,1836-04-01
22.525,1836-05-01
22.469,1836-06-01
23.117,1836-07-01
23.357,1836-08-01
23.565,1836-09-01
24.694,1836-10-01
23.908,1836-11-01
24.982,1836-12-01
25.249,1837-01-01
24.798,1837-02-01
23.316,1837-03-01
22.601,1837-04-01
22.588,1837-05-01
21.866,1837-06-01
22.547,1837-07-01
23.473,1837-08-01
23.95,1837-09-01
24.043,1837-10-01
24.181,1837-11-01
24.695,1837-12-01
22.796,1838-01-01
23.862,1838-02-01
23.493,1838-03-01
23.575,1838-04-01
22.437,1838-05-01
22.731,1838-06-01
23.518,1838-07-01
23.624,1838-08-01
24.203,1838-09-01
24.876,1838-10-01
24.595,1838-11-01
25.013,1838-12-01
25.086,1839-01-01
25.546,1839-02-01
22.77,1839-03-01
24.213,1839-04-01
23.043,1839-05-01
22.56,1839-06-01
23.155,1839-07-01
24.123,1839-08-01
23.761,1839-09-01
24.186,1839-10-01
23.704,1839-11-01
23.501,1839-12-01
25.534,1840-01-01
24.671,1840-02-01
23.465,1840-03-01
24.027,1840-04-01
23.832,1840-05-01
23.216,1840-06-01
23.612,1840-07-01
23.29,1840-08-01
24.235,1840-09-01
24.389,1840-10-01
24.243,1840-11-01
24.657,1840-12-01
24.131,1841-01-01
24.523,1841-02-01
23.847,1841-03-01
23.55,1841-04-01
23.387,1841-05-01
22.826,1841-06-01
23.442,1841-07-01
23.923,1841-08-01
23.956,1841-09-01
24.723,1841-10-01
24.517,1841-11-01
24.377,1841-12-01
24.966,1842-01-01
25.171,1842-02-01
25.861,1842-03-01
24.749,1842-04-01
23.257,1842-05-01
22.885,1842-06-01
22.976,1842-07-01
23.681,1842-08-01
23.581,1842-09-01
24.391,1842-10-01
24.661,1842-11-01
25.67,1842-12-01
25.984,1843-01-01
26.24,1843-02-01
24.74,1843-03-01
24.048,1843-04-01
23.252,1843-05-01
22.427,1843-06-01
22.655,1843-07-01
23.869,1843-08-01
24.446,1843-09-01
24.739,1843-10-01
24.829,1843-11-01
26.062,1843-12-01
26.024,1844-01-01
25.986,1844-02-01
25.949,1844-03-01
25.911,1844-04-01
25.873,1844-05-01
25.835,1844-06-01
25.798,1844-07-01
25.76,1844-08-01
25.722,1844-09-01
25.684,1844-10-01
25.647,1844-11-01
25.609,1844-12-01
25.571,1845-01-01
24.276,1845-02-01
24.687,1845-03-01
24.186,1845-04-01
23.242,1845-05-01
22.636,1845-06-01
23.233,1845-07-01
23.905,1845-08-01
24.393,1845-09-01
24.911,1845-10-01
25.43,1845-11-01
25.948,1845-12-01
26.466,1846-01-01
25.815,1846-02-01
26.238,1846-03-01
23.798,1846-04-01
23.721,1846-05-01
