Year,Modeled Rate (Trend Line)
1975,7.7677
1976,8.2232
1977,8.7055
1978,9.216
1979,9.7565
1980,10.3286
1981,10.9343
1982,11.253
1983,11.5809
1984,11.9184
1985,12.2658
1986,12.6232
1987,12.9911
1988,13.3697
1989,13.7593
1990,14.1603
1991,14.573
1992,14.9977
1993,15.4348
1994,15.8846
1995,16.3475
1996,16.8239
1997,17.3143
1998,17.8188
1999,18.3381
2000,18.8726
2001,19.4226
2002,19.9886
2003,20.5711
2004,21.1707
2005,21.7876
2006,22.0953
2007,22.4073
2008,22.7237
2009,23.0446
2010,23.37
2011,23.7
2012,24.0347
2013,24.3741
2014,24.7183
2015,25.0673
2016,25.4213
2017,25.7803
2018,26.1443
1975,5.0131
1976,5.2836
1977,5.5687
1978,5.8692
1979,6.186
1980,6.5198
1981,6.8716
1982,6.9577
1983,7.0449
1984,7.1332
1985,7.2226
1986,7.3131
1987,7.4047
1988,7.4975
1989,7.5914
1990,7.6865
1991,7.7828
1992,7.8804
1993,7.9791
1994,8.0791
1995,8.1803
1996,8.2828
1997,8.3866
1998,8.4917
1999,8.5981
2000,8.7058
2001,8.8149
2002,8.9254
2003,9.0372
2004,9.1504
2005,9.2651
2006,9.2064
2007,9.1481
2008,9.0901
2009,9.0325
2010,8.9753
2011,8.9185
2012,8.862
2013,8.8058
2014,8.75
2015,8.6946
2016,8.6395
2017,8.5848
2018,8.5304
1975,13.9644
1976,14.773
1977,15.6285
1978,16.5336
1979,17.491
1980,18.504
1981,19.5755
1982,20.7091
1983,21.9084
1984,22.5022
1985,23.1122
1986,23.7387
1987,24.3821
1988,25.043
1989,25.7218
1990,26.419
1991,27.1351
1992,27.8707
1993,28.6261
1994,29.402
1995,30.199
1996,31.0176
1997,31.8583
1998,32.7219
1999,33.6088
2000,34.5198
2001,35.4555
2002,36.4166
2003,37.4037
2004,38.4175
2005,39.4589
2006,40.5284
2007,40.3754
2008,40.2229
2009,40.071
2010,39.9196
2011,39.7689
2012,39.6187
2013,41.5347
2014,43.5434
2015,45.6492
2016,44.755
2017,43.8783
2018,43.0187
1975,16.9642
1976,17.8544
1977,18.7914
1978,19.7775
1979,20.8154
1980,21.9077
1981,23.0574
1982,24.2673
1983,25.5408
1984,26.8811
1985,28.2918
1986,29.7765
1987,31.339
1988,32.9836
1989,34.7145
1990,36.5362
1991,38.4535
1992,40.4715
1993,42.5953
1994,44.8306
1995,47.1832
1996,49.6592
1997,51.7029
1998,53.8307
1999,56.046
2000,58.3526
2001,60.754
2002,63.2543
2003,65.8575
2004,68.5678
2005,71.3897
2006,74.3277
2007,77.3866
2008,80.5714
2009,83.8873
2010,87.3396
2011,89.2455
2012,91.193
2013,93.183
2014,95.2165
2015,97.2943
2016,99.4174
2017,101.5869
2018,103.8038
1975,101.6221133
1976,99.44042667
1977,97.25874
1978,95.07705333
1979,92.89536667
1980,90.71368
1981,88.53199333
1982,86.35030667
1983,84.16862
1984,81.98693333
1985,79.80524667
1986,77.62356
1987,75.44187333
1988,73.26018667
1989,71.0785
1990,68.89681333
1991,66.71512667
1992,64.53344
1993,62.35175333
