AverageTemperature,date
16.684,1820-08-01
13.292,1820-09-01
5.624,1820-10-01
-1.981,1820-11-01
-8.551,1820-12-01
-7.469,1821-01-01
-4.029,1821-02-01
1.381,1821-03-01
7.45,1821-04-01
13.463,1821-05-01
16.799,1821-06-01
18.608,1821-07-01
18.011,1821-08-01
12.107,1821-09-01
6.414,1821-10-01
-0.304,1821-11-01
-7.021,1821-12-01
-8.174,1822-01-01
-3.866,1822-02-01
3.924,1822-03-01
7.91,1822-04-01
12.932,1822-05-01
17.335,1822-06-01
19.751,1822-07-01
17.994,1822-08-01
12.82,1822-09-01
5.925,1822-10-01
-1.745,1822-11-01
-8.709,1822-12-01
-9.109,1823-01-01
-6.11,1823-02-01
0.836,1823-03-01
7.403,1823-04-01
12.767,1823-05-01
18.12,1823-06-01
19.602,1823-07-01
17.686,1823-08-01
12.135,1823-09-01
5.528,1823-10-01
-1.59,1823-11-01
-1.654,1823-12-01
-1.718,1824-01-01
-1.782,1824-02-01
-1.846,1824-03-01
-1.91,1824-04-01
-1.974,1824-05-01
-2.038,1824-06-01
-2.103,1824-07-01
-2.167,1824-08-01
-2.231,1824-09-01
-2.295,1824-10-01
-2.359,1824-11-01
-2.423,1824-12-01
-2.487,1825-01-01
-2.551,1825-02-01
-2.615,1825-03-01
-2.679,1825-04-01
-2.743,1825-05-01
-2.807,1825-06-01
-2.871,1825-07-01
-2.935,1825-08-01
-2.999,1825-09-01
-3.063,1825-10-01
-3.128,1825-11-01
-3.192,1825-12-01
-3.256,1826-01-01
-3.32,1826-02-01
-3.384,1826-03-01
-3.448,1826-04-01
-3.512,1826-05-01
-3.576,1826-06-01
-3.64,1826-07-01
-3.704,1826-08-01
-3.768,1826-09-01
-3.832,1826-10-01
-3.896,1826-11-01
-3.96,1826-12-01
-4.024,1827-01-01
-4.088,1827-02-01
-4.153,1827-03-01
-4.217,1827-04-01
-4.281,1827-05-01
-4.345,1827-06-01
-4.409,1827-07-01
-4.473,1827-08-01
-4.537,1827-09-01
-4.601,1827-10-01
-4.665,1827-11-01
-4.729,1827-12-01
-4.793,1828-01-01
-4.857,1828-02-01
-4.921,1828-03-01
-4.985,1828-04-01
-5.049,1828-05-01
-5.113,1828-06-01
-5.178,1828-07-01
-5.242,1828-08-01
-5.306,1828-09-01
-5.37,1828-10-01
-5.434,1828-11-01
-5.498,1828-12-01
-5.562,1829-01-01
-5.626,1829-02-01
-5.69,1829-03-01
-5.754,1829-04-01
-5.818,1829-05-01
-5.882,1829-06-01
-5.946,1829-07-01
-6.01,1829-08-01
-6.074,1829-09-01
-6.139,1829-10-01
-6.203,1829-11-01
-6.267,1829-12-01
-6.331,1830-01-01
-6.395,1830-02-01
-6.459,1830-03-01
-6.523,1830-04-01
-6.587,1830-05-01
-6.651,1830-06-01
-6.715,1830-07-01
-6.779,1830-08-01
-6.843,1830-09-01
-6.907,1830-10-01
-6.971,1830-11-01
-7.035,1830-12-01
-7.099,1831-01-01
-7.164,1831-02-01
-7.228,1831-03-01
-7.292,1831-04-01
-7.356,1831-05-01
-7.42,1831-06-01
-7.484,1831-07-01
-7.548,1831-08-01
-7.612,1831-09-01
-7.676,1831-10-01
-7.74,1831-11-01
-7.804,1831-12-01
