AverageTemperature,date
10.203,1743-11-01
10.8,1743-12-01
11.398,1744-01-01
11.995,1744-02-01
12.593,1744-03-01
13.19,1744-04-01
14.133,1744-05-01
17.349,1744-06-01
18.782,1744-07-01
17.373,1744-08-01
15.964,1744-09-01
12.554,1744-10-01
9.839,1744-11-01
7.07,1744-12-01
5.515,1745-01-01
6.425,1745-02-01
8.187,1745-03-01
11.672,1745-04-01
11.577,1745-05-01
11.482,1745-06-01
11.387,1745-07-01
11.292,1745-08-01
11.197,1745-09-01
11.102,1745-10-01
11.007,1745-11-01
10.912,1745-12-01
10.817,1746-01-01
10.722,1746-02-01
10.627,1746-03-01
10.532,1746-04-01
10.437,1746-05-01
10.342,1746-06-01
10.247,1746-07-01
10.152,1746-08-01
10.057,1746-09-01
9.962,1746-10-01
9.867,1746-11-01
9.772,1746-12-01
9.677,1747-01-01
9.582,1747-02-01
9.487,1747-03-01
9.392,1747-04-01
9.297,1747-05-01
9.202,1747-06-01
9.107,1747-07-01
9.012,1747-08-01
8.916,1747-09-01
8.821,1747-10-01
8.726,1747-11-01
8.631,1747-12-01
8.536,1748-01-01
8.441,1748-02-01
8.346,1748-03-01
8.251,1748-04-01
8.156,1748-05-01
8.061,1748-06-01
7.966,1748-07-01
7.871,1748-08-01
7.776,1748-09-01
7.681,1748-10-01
7.586,1748-11-01
7.491,1748-12-01
7.396,1749-01-01
7.301,1749-02-01
7.206,1749-03-01
7.111,1749-04-01
7.016,1749-05-01
6.921,1749-06-01
6.826,1749-07-01
6.731,1749-08-01
6.636,1749-09-01
6.541,1749-10-01
6.446,1749-11-01
6.351,1749-12-01
6.256,1750-01-01
9.193,1750-02-01
11.359,1750-03-01
11.89,1750-04-01
15.343,1750-05-01
17.632,1750-06-01
21.089,1750-07-01
19.392,1750-08-01
16.782,1750-09-01
11.077,1750-10-01
8.842,1750-11-01
6.606,1750-12-01
6.62,1751-01-01
5.37,1751-02-01
10.806,1751-03-01
11.194,1751-04-01
14.864,1751-05-01
18.534,1751-06-01
19.77,1751-07-01
19.545,1751-08-01
15.587,1751-09-01
13.117,1751-10-01
10.648,1751-11-01
8.178,1751-12-01
5.708,1752-01-01
8.087,1752-02-01
10.465,1752-03-01
11.407,1752-04-01
11.586,1752-05-01
11.765,1752-06-01
11.944,1752-07-01
12.122,1752-08-01
12.301,1752-09-01
12.48,1752-10-01
10.761,1752-11-01
8.365,1752-12-01
3.975,1753-01-01
6.818,1753-02-01
10.881,1753-03-01
11.617,1753-04-01
15.501,1753-05-01
19.895,1753-06-01
20.4,1753-07-01
18.394,1753-08-01
16.984,1753-09-01
13.365,1753-10-01
8.468,1753-11-01
6.964,1753-12-01
5.548,1754-01-01
4.822,1754-02-01
6.915,1754-03-01
12.318,1754-04-01
15.985,1754-05-01
18.491,1754-06-01
19.02,1754-07-01
19.693,1754-08-01
16.641,1754-09-01
14.429,1754-10-01
10.754,1754-11-01
7.379,1754-12-01
2.501,1755-01-01
4.404,1755-02-01
8.772,1755-03-01
14.933,1755-04-01
15.1,1755-05-01
20.177,1755-06-01
19.467,1755-07-01
18.01,1755-08-01
16.11,1755-09-01
12.46,1755-10-01
9.463,1755-11-01
6.725,1755-12-01
7.994,1756-01-01
9.223,1756-02-01
