AverageTemperature,date
5.468,1743-11-01
6.062,1743-12-01
6.656,1744-01-01
7.25,1744-02-01
7.844,1744-03-01
8.438,1744-04-01
11.498,1744-05-01
14.262,1744-06-01
16.293,1744-07-01
14.672,1744-08-01
13.05,1744-09-01
8.564,1744-10-01
4.164,1744-11-01
0.064,1744-12-01
-2.466,1745-01-01
-1.641,1745-02-01
1.968,1745-03-01
6.816,1745-04-01
6.689,1745-05-01
6.561,1745-06-01
6.434,1745-07-01
6.306,1745-08-01
6.179,1745-09-01
6.051,1745-10-01
5.924,1745-11-01
5.797,1745-12-01
5.669,1746-01-01
5.542,1746-02-01
5.414,1746-03-01
5.287,1746-04-01
5.16,1746-05-01
5.032,1746-06-01
4.905,1746-07-01
4.777,1746-08-01
4.65,1746-09-01
4.522,1746-10-01
4.395,1746-11-01
4.268,1746-12-01
4.14,1747-01-01
4.013,1747-02-01
3.885,1747-03-01
3.758,1747-04-01
3.63,1747-05-01
3.503,1747-06-01
3.376,1747-07-01
3.248,1747-08-01
3.121,1747-09-01
2.993,1747-10-01
2.866,1747-11-01
2.739,1747-12-01
2.611,1748-01-01
2.484,1748-02-01
2.356,1748-03-01
2.229,1748-04-01
2.101,1748-05-01
1.974,1748-06-01
1.847,1748-07-01
1.719,1748-08-01
1.592,1748-09-01
1.464,1748-10-01
1.337,1748-11-01
1.209,1748-12-01
1.082,1749-01-01
0.955,1749-02-01
0.827,1749-03-01
0.7,1749-04-01
0.572,1749-05-01
0.445,1749-06-01
0.318,1749-07-01
0.19,1749-08-01
0.063,1749-09-01
-0.065,1749-10-01
-0.192,1749-11-01
-0.32,1749-12-01
-0.447,1750-01-01
3.333,1750-02-01
6.353,1750-03-01
7.956,1750-04-01
12.218,1750-05-01
15.486,1750-06-01
18.512,1750-07-01
16.788,1750-08-01
13.359,1750-09-01
6.09,1750-10-01
2.934,1750-11-01
-0.223,1750-12-01
-1.12,1751-01-01
-2.51,1751-02-01
5.086,1751-03-01
6.384,1751-04-01
11.306,1751-05-01
16.229,1751-06-01
17.459,1751-07-01
17.454,1751-08-01
12.492,1751-09-01
9.094,1751-10-01
5.696,1751-11-01
2.298,1751-12-01
-1.1,1752-01-01
1.601,1752-02-01
4.302,1752-03-01
7.25,1752-04-01
7.446,1752-05-01
7.641,1752-06-01
7.836,1752-07-01
8.032,1752-08-01
8.228,1752-09-01
8.423,1752-10-01
4.921,1752-11-01
1.646,1752-12-01
-3.234,1753-01-01
-0.367,1753-02-01
4.939,1753-03-01
8.075,1753-04-01
12.392,1753-05-01
16.75,1753-06-01
17.692,1753-07-01
16.026,1753-08-01
13.874,1753-09-01
9.046,1753-10-01
2.312,1753-11-01
-1.155,1753-12-01
-1.733,1754-01-01
-1.735,1754-02-01
0.251,1754-03-01
6.948,1754-04-01
13.333,1754-05-01
15.815,1754-06-01
16.097,1754-07-01
16.853,1754-08-01
13.017,1754-09-01
9.527,1754-10-01
4.297,1754-11-01
0.448,1754-12-01
-5.97,1755-01-01
-4.718,1755-02-01
2.259,1755-03-01
10.475,1755-04-01
12.152,1755-05-01
18.031,1755-06-01
17.555,1755-07-01
15.667,1755-08-01
12.393,1755-09-01
7.818,1755-10-01
3.356,1755-11-01
1.222,1755-12-01
1.733,1756-01-01
2.23,1756-02-01
3.952,1756-03-01
6.467,1756-04-01
11.61,1756-05-01
18.014,1756-06-01
18.377,1756-07-01
16.192,1756-08-01
14.623,1756-09-01
8.259,1756-10-01
1.579,1756-11-01
-2.131,1756-12-01
-3.019,1757-01-01
0.683,1757-02-01
3.577,1757-03-01
8.575,1757-04-01
12.189,1757-05-01
17.345,1757-06-01
20.889,1757-07-01
17.448,1757-08-01
12.169,1757-09-01
4.529,1757-10-01
4.239,1757-11-01
-1.321,1757-12-01
-4.647,1758-01-01
-0.478,1758-02-01
3.308,1758-03-01
6.312,1758-04-01
13.927,1758-05-01
16.734,1758-06-01
15.532,1758-07-01
17.088,1758-08-01
11.781,1758-09-01
6.47,1758-10-01
3.302,1758-11-01
0.624,1758-12-01
1.416,1759-01-01
2.087,1759-02-01
4.29,1759-03-01
7.662,1759-04-01
11.564,1759-05-01
16.699,1759-06-01
19.504,1759-07-01
17.486,1759-08-01
13.549,1759-09-01
9.287,1759-10-01
0.509,1759-11-01
-3.1,1759-12-01
-2.846,1760-01-01
-0.919,1760-02-01
2.051,1760-03-01
8.204,1760-04-01
12.8,1760-05-01
16.904,1760-06-01
17.651,1760-07-01
16.83,1760-08-01
14.6,1760-09-01
8.617,1760-10-01
3.767,1760-11-01
2.903,1760-12-01
-1.521,1761-01-01
2.105,1761-02-01
5.738,1761-03-01
7.406,1761-04-01
14.157,1761-05-01
17.556,1761-06-01
17.424,1761-07-01
18.497,1761-08-01
15.239,1761-09-01
6.216,1761-10-01
3.314,1761-11-01
-2.977,1761-12-01
0.749,1762-01-01
-0.07,1762-02-01
0.451,1762-03-01
10.119,1762-04-01
13.53,1762-05-01
16.432,1762-06-01
18.141,1762-07-01
15.396,1762-08-01
13.182,1762-09-01
5.893,1762-10-01
2.614,1762-11-01
-2.766,1762-12-01
-5.591,1763-01-01
2.81,1763-02-01
2.08,1763-03-01
6.568,1763-04-01
11.363,1763-05-01
15.624,1763-06-01
17.785,1763-07-01
17.915,1763-08-01
12.325,1763-09-01
6.474,1763-10-01
2.897,1763-11-01
2.295,1763-12-01
1.796,1764-01-01
3.19,1764-02-01
2.133,1764-03-01
6.901,1764-04-01
14.243,1764-05-01
14.868,1764-06-01
18.833,1764-07-01
15.753,1764-08-01
11.661,1764-09-01
6.888,1764-10-01
2.552,1764-11-01
-0.293,1764-12-01
0.827,1765-01-01
-2.92,1765-02-01
5.077,1765-03-01
8.159,1765-04-01
11.119,1765-05-01
16.052,1765-06-01
15.479,1765-07-01
17.361,1765-08-01
12.635,1765-09-01
8.802,1765-10-01
3.158,1765-11-01
-1.134,1765-12-01
-3.771,1766-01-01
-1.441,1766-02-01
3.531,1766-03-01
9.285,1766-04-01
13.15,1766-05-01
16.261,1766-06-01
17.058,1766-07-01
16.893,1766-08-01
13.938,1766-09-01
7.658,1766-10-01
3.843,1766-11-01
-1.394,1766-12-01
-7.856,1767-01-01
2.623,1767-02-01
3.175,1767-03-01
5.644,1767-04-01
10.964,1767-05-01
14.5,1767-06-01
17.028,1767-07-01
17.323,1767-08-01
13.947,1767-09-01
8.329,1767-10-01
5.718,1767-11-01
-2.151,1767-12-01
-5.196,1768-01-01
-0.693,1768-02-01
1.386,1768-03-01
7.227,1768-04-01
12.299,1768-05-01
15.525,1768-06-01
17.64,1768-07-01
16.985,1768-08-01
12.31,1768-09-01
7.321,1768-10-01
3.767,1768-11-01
0.391,1768-12-01
0.218,1769-01-01
-0.034,1769-02-01
3.014,1769-03-01
7.854,1769-04-01
11.83,1769-05-01
14.95,1769-06-01
17.276,1769-07-01
16.021,1769-08-01
13.622,1769-09-01
4.425,1769-10-01
3.668,1769-11-01
0.685,1769-12-01
-1.869,1770-01-01
-0.064,1770-02-01
0.201,1770-03-01
5.62,1770-04-01
12.388,1770-05-01
14.959,1770-06-01
16.701,1770-07-01
17.266,1770-08-01
14.84,1770-09-01
8.103,1770-10-01
3.537,1770-11-01
1.793,1770-12-01
-2.353,1771-01-01
-2.523,1771-02-01
-0.413,1771-03-01
3.649,1771-04-01
14.693,1771-05-01
15.539,1771-06-01
16.836,1771-07-01
15.363,1771-08-01
13.273,1771-09-01
8.282,1771-10-01
1.363,1771-11-01
1.601,1771-12-01
-1.342,1772-01-01
1.491,1772-02-01
3.824,1772-03-01
6.502,1772-04-01
10.207,1772-05-01
16.972,1772-06-01
17.105,1772-07-01
16.896,1772-08-01
14.514,1772-09-01
9.97,1772-10-01
5.751,1772-11-01
1.395,1772-12-01
1.225,1773-01-01
-1.127,1773-02-01
2.811,1773-03-01
7.68,1773-04-01
13.364,1773-05-01
15.288,1773-06-01
16.569,1773-07-01
17.066,1773-08-01
14.184,1773-09-01
9.83,1773-10-01
4.007,1773-11-01
2.523,1773-12-01
-1.816,1774-01-01
1.029,1774-02-01
4.948,1774-03-01
9.176,1774-04-01
12.604,1774-05-01
