dt,AverageTemperature
1796-01-01,17.044
1796-02-01,19.193
1796-03-01,22.319
1796-04-01,27.233
1796-05-01,30.035
1796-06-01,29.261
1796-07-01,26.8
1796-08-01,26.558
1796-09-01,25.958
1796-10-01,24.031
1796-11-01,20.186
1796-12-01,15.485
1797-01-01,17.95
1797-02-01,20.414
1797-03-01,22.879
1797-04-01,26.502
1797-05-01,29.364
1797-06-01,29.88
1797-07-01,26.891
1797-08-01,26.716
1797-09-01,26.072
1797-10-01,23.67
1797-11-01,19.323
1797-12-01,17.102
1798-01-01,17.226
1798-02-01,19.525
1798-03-01,24.328
1798-04-01,26.008
1798-05-01,27.689
1798-06-01,29.369
1798-07-01,27.968
1798-08-01,27.009
1798-09-01,25.973
1798-10-01,23.898
1798-11-01,20.709
1798-12-01,16.728
1799-01-01,16.648
1799-02-01,17.976
1799-03-01,23.08
1799-04-01,27.996
1799-05-01,30.217
1799-06-01,29.86
1799-07-01,27.178
1799-08-01,26.674
1799-09-01,26.105
1799-10-01,24.597
1799-11-01,20.158
1799-12-01,16.904
1800-01-01,17.081
1800-02-01,19.78
1800-03-01,22.938
1800-04-01,28.458
1800-05-01,29.372
1800-06-01,29.261
1800-07-01,26.494
1800-08-01,26.069
1800-09-01,24.999
1800-10-01,24.318
1800-11-01,20.625
1800-12-01,17.548
1801-01-01,17.433
1801-02-01,18.868
1801-03-01,25.084
1801-04-01,26.273
1801-05-01,27.463
1801-06-01,28.652
1801-07-01,27.272
1801-08-01,26.075
1801-09-01,25.598
1801-10-01,24.001
1801-11-01,20.492
1801-12-01,18.276
1802-01-01,17.904
1802-02-01,19.734
1802-03-01,24.829
1802-04-01,27.816
1802-05-01,29.209
1802-06-01,30.397
1802-07-01,27.826
1802-08-01,26.581
1802-09-01,26.699
1802-10-01,24.564
1802-11-01,20.258
1802-12-01,16.795
1803-01-01,15.603
1803-02-01,18.271
1803-03-01,23.323
1803-04-01,28.265
1803-05-01,30.257
1803-06-01,29.643
1803-07-01,27.876
1803-08-01,27.79
1803-09-01,26.732
1803-10-01,24.319
1803-11-01,20.749
1803-12-01,16.921
1804-01-01,17.443
1804-02-01,19.11
1804-03-01,23.215
1804-04-01,29.131
1804-05-01,30.692
1804-06-01,29.952
1804-07-01,28.694
1804-08-01,26.788
1804-09-01,26.513
1804-10-01,24.164
1804-11-01,21.624
1804-12-01,16.583
1805-01-01,17.173
1805-02-01,19.036
1805-03-01,23.942
1805-04-01,27.034
1805-05-01,30.077
1805-06-01,29.959
1805-07-01,27.069
1805-08-01,27.213
1805-09-01,25.936
1805-10-01,22.831
1805-11-01,19.951
1805-12-01,18.085
1806-01-01,17.092
1806-02-01,19.019
1806-03-01,23.013
1806-04-01,27.359
1806-05-01,29.971
1806-06-01,28.054
1806-07-01,26.995
1806-08-01,26.888
1806-09-01,26.855
1806-10-01,23.754
1806-11-01,20.452
1806-12-01,17.662
1807-01-01,15.975
1807-02-01,18.799
1807-03-01,21.824
1807-04-01,24.848
1807-05-01,27.873
1807-06-01,29.541
1807-07-01,27.631
1807-08-01,26.447
1807-09-01,26.465
1807-10-01,23.586
1807-11-01,20.375
1807-12-01,18.304
1808-01-01,18.241
1808-02-01,18.179
1808-03-01,18.116
1808-04-01,18.053
1808-05-01,17.99
1808-06-01,17.928
1808-07-01,17.865
1808-08-01,17.802
1808-09-01,17.74
1808-10-01,17.677
1808-11-01,17.614
1808-12-01,17.552
1809-01-01,17.489
1809-02-01,17.426
1809-03-01,17.363
1809-04-01,17.301
1809-05-01,17.238
1809-06-01,17.175
1809-07-01,17.113
1809-08-01,17.05
1809-09-01,16.987
1809-10-01,16.924
1809-11-01,16.862
1809-12-01,16.799
1810-01-01,16.736
1810-02-01,16.674
1810-03-01,16.611
1810-04-01,16.548
1810-05-01,16.486
1810-06-01,16.423
1810-07-01,16.36
1810-08-01,16.297
1810-09-01,16.235
1810-10-01,16.172
1810-11-01,16.109
1810-12-01,16.047
1811-01-01,15.984
1811-02-01,15.921
1811-03-01,15.859
1811-04-01,15.796
1811-05-01,15.733
1811-06-01,15.67
1811-07-01,15.608
1811-08-01,15.545
1811-09-01,15.482
1811-10-01,15.42
1811-11-01,15.357
1811-12-01,15.294
1812-01-01,15.231
1812-02-01,15.169
1812-03-01,15.106
1812-04-01,15.043
1812-05-01,14.981
1812-06-01,14.918
1812-07-01,14.855
1812-08-01,14.793
1812-09-01,14.73
1812-10-01,14.667
1812-11-01,14.604
1812-12-01,14.542
1813-01-01,14.479
1813-02-01,18.549
1813-03-01,21.409
1813-04-01,27.898
1813-05-01,30.54
1813-06-01,28.332
1813-07-01,26.881
1813-08-01,25.304
1813-09-01,25.773
1813-10-01,23.198
1813-11-01,21.076
1813-12-01,15.816
1814-01-01,15.45
1814-02-01,18.596
1814-03-01,22.213
1814-04-01,26.526
1814-05-01,27.728
1814-06-01,28.93
1814-07-01,25.53
1814-08-01,25.325
1814-09-01,24.583
1814-10-01,22.5
1814-11-01,21.007
1814-12-01,18.571
1815-01-01,15.915
1815-02-01,19.157
1815-03-01,22.208
1815-04-01,27.332
1815-05-01,29.24
1815-06-01,26.523
1815-07-01,26.316
1815-08-01,25.577
1815-09-01,25.154
1815-10-01,22.034
1815-11-01,18.865
1815-12-01,15.372
1816-01-01,16.376
1816-02-01,16.251
1816-03-01,22.414
1816-04-01,26.301
1816-05-01,29.514
1816-06-01,28.163
1816-07-01,25.06
1816-08-01,24.848
1816-09-01,23.977
1816-10-01,21.404
1816-11-01,18.967
1816-12-01,15.813
1817-01-01,15.916
1817-02-01,18.828
1817-03-01,22.551
1817-04-01,27.052
1817-05-01,28.28
1817-06-01,27.135
1817-07-01,25.614
1817-08-01,25.669
1817-09-01,23.313
1817-10-01,21.903
1817-11-01,19.313
1817-12-01,15.572
1818-01-01,16.076
1818-02-01,18.023
1818-03-01,23.085
1818-04-01,27.783
1818-05-01,29.952
1818-06-01,28.889
1818-07-01,25.302
1818-08-01,24.729
1818-09-01,24.058
1818-10-01,22.026
1818-11-01,19.335
1818-12-01,16.178
1819-01-01,14.385
1819-02-01,17.616
1819-03-01,22.021
1819-04-01,26.019
1819-05-01,28.662
1819-06-01,28.244
1819-07-01,25.901
1819-08-01,25.169
1819-09-01,24.613
1819-10-01,23.262
1819-11-01,19.983
1819-12-01,15.968
1820-01-01,14.902
1820-02-01,17.539
1820-03-01,22.622
1820-04-01,27.626
1820-05-01,29.083
1820-06-01,28.243
1820-07-01,25.972
1820-08-01,24.849
1820-09-01,24.896
1820-10-01,22.787
1820-11-01,19.562
1820-12-01,16.008
1821-01-01,17.268
1821-02-01,19.933
1821-03-01,23.809
1821-04-01,26.623
1821-05-01,29.613
1821-06-01,28.564
1821-07-01,26.174
1821-08-01,25.669
1821-09-01,24.188
1821-10-01,23.045
1821-11-01,20.411
1821-12-01,17.034
1822-01-01,17.522
1822-02-01,20.712
1822-03-01,25.528
1822-04-01,27.135
1822-05-01,29.57
1822-06-01,28.46
1822-07-01,26.667
1822-08-01,25.142
1822-09-01,24.52
1822-10-01,22.519
1822-11-01,19.336
1822-12-01,16.058
1823-01-01,16.882
1823-02-01,19.361
1823-03-01,23.47
1823-04-01,27.77
1823-05-01,29.427
1823-06-01,29.279
1823-07-01,26.703
1823-08-01,25.162
1823-09-01,23.894
1823-10-01,23.159
1823-11-01,19.397
1823-12-01,17.149
1824-01-01,17.323
1824-02-01,19.326
1824-03-01,23.737
1824-04-01,27.524
1824-05-01,29.551
1824-06-01,29.33
1824-07-01,28.039
1824-08-01,25.948
1824-09-01,25.79
1824-10-01,22.748
1824-11-01,20.546
1824-12-01,18.735
1825-01-01,17.412
1825-02-01,19.554
1825-03-01,23.61
1825-04-01,27.947
1825-05-01,29.516
1825-06-01,29.196
1825-07-01,26.856
1825-08-01,25.331
1825-09-01,24.905
1825-10-01,23.159
1825-11-01,21.021
1825-12-01,17.046
1826-01-01,17.047
1826-02-01,18.351
1826-03-01,23.743
1826-04-01,27.814
1826-05-01,30.463
1826-06-01,28.352
1826-07-01,27.152
1826-08-01,25.162
1826-09-01,24.969
1826-10-01,23.612
