AverageTemperature,date
-1.1,1841-01-01
-0.079,1841-02-01
2.68,1841-03-01
8.4,1841-04-01
13.796,1841-05-01
18.046,1841-06-01
22.872,1841-07-01
23.75,1841-08-01
19.374,1841-09-01
13.543,1841-10-01
7.617,1841-11-01
3.335,1841-12-01
0.221,1842-01-01
0.903,1842-02-01
5.08,1842-03-01
9.811,1842-04-01
13.541,1842-05-01
17.908,1842-06-01
21.941,1842-07-01
23.449,1842-08-01
19.511,1842-09-01
13.14,1842-10-01
7.484,1842-11-01
4.36,1842-12-01
1.261,1843-01-01
2.033,1843-02-01
4.799,1843-03-01
9.365,1843-04-01
13.045,1843-05-01
17.689,1843-06-01
22.489,1843-07-01
23.589,1843-08-01
19.697,1843-09-01
13.344,1843-10-01
7.975,1843-11-01
4.241,1843-12-01
0.511,1844-01-01
0.118,1844-02-01
4.522,1844-03-01
8.917,1844-04-01
13.36,1844-05-01
17.931,1844-06-01
22.261,1844-07-01
23.392,1844-08-01
19.527,1844-09-01
14.117,1844-10-01
7.738,1844-11-01
2.2,1844-12-01
1.882,1845-01-01
0.594,1845-02-01
4.424,1845-03-01
9.428,1845-04-01
13.952,1845-05-01
18.564,1845-06-01
23.152,1845-07-01
23.499,1845-08-01
19.325,1845-09-01
12.978,1845-10-01
7.215,1845-11-01
1.553,1845-12-01
0.92,1846-01-01
1.034,1846-02-01
4.906,1846-03-01
9.232,1846-04-01
13.216,1846-05-01
18.702,1846-06-01
22.988,1846-07-01
24.406,1846-08-01
20.593,1846-09-01
14.075,1846-10-01
7.687,1846-11-01
4.133,1846-12-01
1.336,1847-01-01
1.041,1847-02-01
3.399,1847-03-01
9.641,1847-04-01
13.858,1847-05-01
18.04,1847-06-01
22.686,1847-07-01
24.066,1847-08-01
19.947,1847-09-01
13.722,1847-10-01
9.296,1847-11-01
2.884,1847-12-01
-0.531,1848-01-01
1.755,1848-02-01
4.236,1848-03-01
9.504,1848-04-01
14.309,1848-05-01
18.372,1848-06-01
23.004,1848-07-01
23.373,1848-08-01
19.645,1848-09-01
14.313,1848-10-01
7.459,1848-11-01
3.766,1848-12-01
1.281,1849-01-01
2.367,1849-02-01
5.356,1849-03-01
8.688,1849-04-01
13.557,1849-05-01
18.213,1849-06-01
22.06,1849-07-01
23.783,1849-08-01
20.159,1849-09-01
13.859,1849-10-01
7.776,1849-11-01
2.161,1849-12-01
-0.498,1850-01-01
1.057,1850-02-01
4.661,1850-03-01
8.242,1850-04-01
13.468,1850-05-01
18.223,1850-06-01
22.628,1850-07-01
23.153,1850-08-01
19.535,1850-09-01
13.264,1850-10-01
7.027,1850-11-01
2.632,1850-12-01
0.844,1851-01-01
0.418,1851-02-01
3.404,1851-03-01
7.97,1851-04-01
13.773,1851-05-01
17.834,1851-06-01
22.865,1851-07-01
23.405,1851-08-01
19.429,1851-09-01
13.3,1851-10-01
7.834,1851-11-01
2.335,1851-12-01
0.13,1852-01-01
-0.687,1852-02-01
2.422,1852-03-01
7.962,1852-04-01
13.757,1852-05-01
18.609,1852-06-01
23.22,1852-07-01
23.173,1852-08-01
19.737,1852-09-01
14.227,1852-10-01
7.111,1852-11-01
3.753,1852-12-01
-0.239,1853-01-01
-0.937,1853-02-01
3.457,1853-03-01
8.42,1853-04-01
13.934,1853-05-01
18.632,1853-06-01
23.499,1853-07-01
23.665,1853-08-01
20.343,1853-09-01
13.408,1853-10-01
7.977,1853-11-01
2.933,1853-12-01
0.115,1854-01-01
-0.14,1854-02-01
4.48,1854-03-01
9.365,1854-04-01
14.647,1854-05-01
18.454,1854-06-01
23.042,1854-07-01
24.179,1854-08-01
20.39,1854-09-01
14.596,1854-10-01
8.172,1854-11-01
3.006,1854-12-01
2.066,1855-01-01
0.467,1855-02-01
4.719,1855-03-01
11.367,1855-04-01
14.949,1855-05-01
19.236,1855-06-01
23.061,1855-07-01
23.532,1855-08-01
20.567,1855-09-01
13.8,1855-10-01
7.534,1855-11-01
3.19,1855-12-01
0.554,1856-01-01
-0.644,1856-02-01
3.938,1856-03-01
9.567,1856-04-01
13.703,1856-05-01
18.866,1856-06-01
23.04,1856-07-01
24.344,1856-08-01
19.686,1856-09-01
13.452,1856-10-01
8.168,1856-11-01
3.243,1856-12-01
0.039,1857-01-01
1.054,1857-02-01
3.518,1857-03-01
9.401,1857-04-01
13.002,1857-05-01
18.407,1857-06-01
22.681,1857-07-01
23.503,1857-08-01
19.59,1857-09-01
13.8,1857-10-01
8.506,1857-11-01
3.303,1857-12-01
0.363,1858-01-01
0.865,1858-02-01
3.509,1858-03-01
10.834,1858-04-01
14.715,1858-05-01
18.675,1858-06-01
22.762,1858-07-01
22.908,1858-08-01
19.789,1858-09-01
14.106,1858-10-01
8.989,1858-11-01
2.724,1858-12-01
-0.122,1859-01-01
-0.159,1859-02-01
4.371,1859-03-01
10.651,1859-04-01
14.486,1859-05-01
19.334,1859-06-01
21.888,1859-07-01
23.111,1859-08-01
19.367,1859-09-01
13.612,1859-10-01
8.248,1859-11-01
3.888,1859-12-01
-0.664,1860-01-01
0.429,1860-02-01
2.211,1860-03-01
9.541,1860-04-01
13.73,1860-05-01
18.239,1860-06-01
22.791,1860-07-01
24.588,1860-08-01
20.943,1860-09-01
13.874,1860-10-01
6.407,1860-11-01
1.064,1860-12-01
-1.682,1861-01-01
-0.756,1861-02-01
4.225,1861-03-01
9.608,1861-04-01
13.826,1861-05-01
18.5,1861-06-01
22.333,1861-07-01
24.192,1861-08-01
19.613,1861-09-01
13.474,1861-10-01
8.047,1861-11-01
2.772,1861-12-01
0.005,1862-01-01
-1.151,1862-02-01
4.294,1862-03-01
9.514,1862-04-01
14.282,1862-05-01
18.961,1862-06-01
22.595,1862-07-01
23.26,1862-08-01
19.907,1862-09-01
13.706,1862-10-01
6.868,1862-11-01
1.868,1862-12-01
0.443,1863-01-01
1.159,1863-02-01
4.911,1863-03-01
9.147,1863-04-01
14.158,1863-05-01
19.32,1863-06-01
24.518,1863-07-01
24.748,1863-08-01
18.996,1863-09-01
13.159,1863-10-01
7.945,1863-11-01
3.197,1863-12-01
-0.117,1864-01-01
-0.185,1864-02-01
3.012,1864-03-01
9.899,1864-04-01
13.977,1864-05-01
18.507,1864-06-01
22.748,1864-07-01
24.248,1864-08-01
19.799,1864-09-01
14.371,1864-10-01
8.732,1864-11-01
2.322,1864-12-01
0.653,1865-01-01
0.992,1865-02-01
3.304,1865-03-01
10.312,1865-04-01
14.875,1865-05-01
18.973,1865-06-01
21.703,1865-07-01
24.637,1865-08-01
20.411,1865-09-01
14.343,1865-10-01
7.959,1865-11-01
2.526,1865-12-01
-0.132,1866-01-01
-0.28,1866-02-01
3.958,1866-03-01
8.561,1866-04-01
13.464,1866-05-01
17.598,1866-06-01
22.914,1866-07-01
24.034,1866-08-01
19.09,1866-09-01
14.101,1866-10-01
8.312,1866-11-01
3.082,1866-12-01
0.152,1867-01-01
-0.602,1867-02-01
4.703,1867-03-01
9.028,1867-04-01
13.787,1867-05-01
18.206,1867-06-01
22.703,1867-07-01
24.87,1867-08-01
19.951,1867-09-01
14.994,1867-10-01
8.771,1867-11-01
4.069,1867-12-01
0.995,1868-01-01
0.784,1868-02-01
3.406,1868-03-01
10.05,1868-04-01
14.497,1868-05-01
18.206,1868-06-01
23.276,1868-07-01
23.219,1868-08-01
19.713,1868-09-01
14.209,1868-10-01
8.188,1868-11-01
3.185,1868-12-01
0.957,1869-01-01
2.685,1869-02-01
3.646,1869-03-01
8.308,1869-04-01
13.79,1869-05-01
18.535,1869-06-01
21.612,1869-07-01
23.193,1869-08-01
20.828,1869-09-01
14.962,1869-10-01
8.046,1869-11-01
1.706,1869-12-01
0.099,1870-01-01
0.149,1870-02-01
4.481,1870-03-01
9.184,1870-04-01
14.593,1870-05-01
18.815,1870-06-01
23.099,1870-07-01
23.325,1870-08-01
20.752,1870-09-01
14.016,1870-10-01
8.293,1870-11-01
2.092,1870-12-01
-0.297,1871-01-01
-0.066,1871-02-01
4.292,1871-03-01
9.468,1871-04-01
13.608,1871-05-01
18.286,1871-06-01
23.11,1871-07-01
24.0,1871-08-01
20.354,1871-09-01
14.748,1871-10-01
8.471,1871-11-01
2.381,1871-12-01
-1.626,1872-01-01
0.258,1872-02-01
4.642,1872-03-01
9.336,1872-04-01
13.854,1872-05-01
18.535,1872-06-01
22.914,1872-07-01
23.745,1872-08-01
20.054,1872-09-01
14.578,1872-10-01
8.338,1872-11-01
2.902,1872-12-01
-0.98,1873-01-01
-0.387,1873-02-01
2.811,1873-03-01
8.424,1873-04-01
13.799,1873-05-01
17.935,1873-06-01
22.773,1873-07-01
24.012,1873-08-01
19.225,1873-09-01
13.485,1873-10-01
7.739,1873-11-01
3.012,1873-12-01
0.695,1874-01-01
1.248,1874-02-01
3.69,1874-03-01
9.637,1874-04-01
14.215,1874-05-01
19.246,1874-06-01
23.446,1874-07-01
24.501,1874-08-01
