AverageTemperature,date
-27.114,1812-01-01
-25.644,1812-02-01
-19.108,1812-03-01
-7.605,1812-04-01
2.296,1812-05-01
10.2,1812-06-01
15.288,1812-07-01
14.817,1812-08-01
3.909,1812-09-01
-6.468,1812-10-01
-17.758,1812-11-01
-27.375,1812-12-01
-30.351,1813-01-01
-23.85,1813-02-01
-18.561,1813-03-01
-5.516,1813-04-01
2.89,1813-05-01
11.295,1813-06-01
15.339,1813-07-01
12.321,1813-08-01
6.44,1813-09-01
-5.847,1813-10-01
-13.888,1813-11-01
-25.315,1813-12-01
-28.414,1814-01-01
-23.331,1814-02-01
-17.06,1814-03-01
-7.478,1814-04-01
0.985,1814-05-01
11.484,1814-06-01
12.454,1814-07-01
11.917,1814-08-01
4.637,1814-09-01
-5.003,1814-10-01
-14.643,1814-11-01
-21.346,1814-12-01
-20.943,1815-01-01
-20.541,1815-02-01
-20.138,1815-03-01
-19.735,1815-04-01
-19.332,1815-05-01
-18.93,1815-06-01
-18.527,1815-07-01
-18.124,1815-08-01
-17.721,1815-09-01
-17.319,1815-10-01
-16.916,1815-11-01
-25.768,1815-12-01
-21.014,1816-01-01
-16.261,1816-02-01
-11.507,1816-03-01
-6.754,1816-04-01
3.211,1816-05-01
10.179,1816-06-01
12.692,1816-07-01
11.789,1816-08-01
4.454,1816-09-01
-8.17,1816-10-01
-17.017,1816-11-01
-25.039,1816-12-01
-25.835,1817-01-01
-21.598,1817-02-01
-15.913,1817-03-01
-6.196,1817-04-01
2.595,1817-05-01
9.235,1817-06-01
12.966,1817-07-01
12.906,1817-08-01
2.263,1817-09-01
-7.967,1817-10-01
-17.538,1817-11-01
-28.437,1817-12-01
-25.982,1818-01-01
-25.346,1818-02-01
-14.598,1818-03-01
-4.459,1818-04-01
4.036,1818-05-01
12.352,1818-06-01
13.99,1818-07-01
12.475,1818-08-01
4.654,1818-09-01
-7.21,1818-10-01
-16.944,1818-11-01
-23.879,1818-12-01
-26.359,1819-01-01
-24.603,1819-02-01
-17.949,1819-03-01
-7.858,1819-04-01
2.168,1819-05-01
11.093,1819-06-01
13.436,1819-07-01
11.321,1819-08-01
5.41,1819-09-01
-4.528,1819-10-01
-17.339,1819-11-01
-25.978,1819-12-01
-28.645,1820-01-01
-24.667,1820-02-01
-15.642,1820-03-01
-4.994,1820-04-01
4.449,1820-05-01
11.53,1820-06-01
13.932,1820-07-01
10.691,1820-08-01
4.976,1820-09-01
-5.982,1820-10-01
-17.223,1820-11-01
-25.567,1820-12-01
-24.335,1821-01-01
-21.585,1821-02-01
-15.359,1821-03-01
-6.465,1821-04-01
4.169,1821-05-01
10.223,1821-06-01
13.714,1821-07-01
11.884,1821-08-01
3.578,1821-09-01
-5.111,1821-10-01
-15.558,1821-11-01
-23.767,1821-12-01
-24.857,1822-01-01
-20.258,1822-02-01
-12.278,1822-03-01
-5.551,1822-04-01
2.803,1822-05-01
10.937,1822-06-01
14.555,1822-07-01
11.92,1822-08-01
4.693,1822-09-01
-5.77,1822-10-01
-17.09,1822-11-01
-24.892,1822-12-01
-27.255,1823-01-01
-23.68,1823-02-01
-15.014,1823-03-01
-6.892,1823-04-01
3.56,1823-05-01
12.684,1823-06-01
14.844,1823-07-01
11.94,1823-08-01
4.253,1823-09-01
-6.559,1823-10-01
-17.861,1823-11-01
-24.462,1823-12-01
-26.038,1824-01-01
-22.59,1824-02-01
-14.861,1824-03-01
-6.217,1824-04-01
3.481,1824-05-01
10.98,1824-06-01
15.095,1824-07-01
12.132,1824-08-01
5.466,1824-09-01
-5.424,1824-10-01
-14.863,1824-11-01
-20.762,1824-12-01
-23.831,1825-01-01
-22.794,1825-02-01
-15.697,1825-03-01
-5.459,1825-04-01
3.114,1825-05-01
12.338,1825-06-01
14.069,1825-07-01
12.095,1825-08-01
4.411,1825-09-01
-5.635,1825-10-01
-14.215,1825-11-01
-23.574,1825-12-01
-26.2,1826-01-01
-25.036,1826-02-01
-15.536,1826-03-01
-5.487,1826-04-01
4.819,1826-05-01
11.719,1826-06-01
15.544,1826-07-01
12.245,1826-08-01
5.156,1826-09-01
-5.391,1826-10-01
-14.567,1826-11-01
-21.072,1826-12-01
-23.86,1827-01-01
-21.98,1827-02-01
-13.969,1827-03-01
-4.594,1827-04-01
4.659,1827-05-01
11.887,1827-06-01
15.511,1827-07-01
12.628,1827-08-01
4.731,1827-09-01
-6.061,1827-10-01
-14.82,1827-11-01
-24.591,1827-12-01
-28.958,1828-01-01
-25.151,1828-02-01
-15.32,1828-03-01
-5.871,1828-04-01
3.913,1828-05-01
12.376,1828-06-01
14.8,1828-07-01
12.588,1828-08-01
3.61,1828-09-01
-5.198,1828-10-01
-15.771,1828-11-01
-24.335,1828-12-01
-26.561,1829-01-01
-23.994,1829-02-01
-16.524,1829-03-01
-7.591,1829-04-01
3.48,1829-05-01
10.712,1829-06-01
15.46,1829-07-01
12.134,1829-08-01
4.431,1829-09-01
-5.053,1829-10-01
-16.244,1829-11-01
-24.425,1829-12-01
-25.084,1830-01-01
-21.993,1830-02-01
-16.722,1830-03-01
-6.241,1830-04-01
2.716,1830-05-01
10.768,1830-06-01
15.024,1830-07-01
12.437,1830-08-01
3.608,1830-09-01
-6.877,1830-10-01
-13.718,1830-11-01
-21.843,1830-12-01
-26.365,1831-01-01
-23.418,1831-02-01
-17.336,1831-03-01
-7.135,1831-04-01
3.007,1831-05-01
11.091,1831-06-01
13.93,1831-07-01
10.691,1831-08-01
3.428,1831-09-01
-6.152,1831-10-01
-18.198,1831-11-01
-23.622,1831-12-01
-26.647,1832-01-01
-22.324,1832-02-01
-15.839,1832-03-01
-5.96,1832-04-01
2.707,1832-05-01
10.078,1832-06-01
13.548,1832-07-01
10.154,1832-08-01
3.54,1832-09-01
-4.881,1832-10-01
-17.908,1832-11-01
-26.642,1832-12-01
-26.413,1833-01-01
-22.934,1833-02-01
-17.451,1833-03-01
-7.186,1833-04-01
2.594,1833-05-01
10.841,1833-06-01
13.754,1833-07-01
11.631,1833-08-01
4.557,1833-09-01
-6.042,1833-10-01
-13.379,1833-11-01
-23.946,1833-12-01
-29.033,1834-01-01
-23.868,1834-02-01
-14.396,1834-03-01
-6.282,1834-04-01
3.901,1834-05-01
11.162,1834-06-01
13.876,1834-07-01
12.334,1834-08-01
5.424,1834-09-01
-4.799,1834-10-01
-14.884,1834-11-01
-22.773,1834-12-01
-24.62,1835-01-01
-21.54,1835-02-01
-16.257,1835-03-01
