AverageTemperature,date
16.247,1843-01-01
18.571,1843-02-01
21.02,1843-03-01
25.029,1843-04-01
28.891,1843-05-01
32.073,1843-06-01
34.169,1843-07-01
33.272,1843-08-01
30.287,1843-09-01
25.124,1843-10-01
19.96,1843-11-01
15.913,1843-12-01
15.354,1844-01-01
16.851,1844-02-01
20.891,1844-03-01
24.932,1844-04-01
28.972,1844-05-01
32.244,1844-06-01
34.065,1844-07-01
33.218,1844-08-01
29.944,1844-09-01
25.787,1844-10-01
19.635,1844-11-01
15.356,1844-12-01
14.444,1845-01-01
17.22,1845-02-01
21.521,1845-03-01
25.174,1845-04-01
29.455,1845-05-01
28.986,1845-06-01
28.517,1845-07-01
28.048,1845-08-01
27.58,1845-09-01
27.111,1845-10-01
26.642,1845-11-01
26.173,1845-12-01
25.704,1846-01-01
25.235,1846-02-01
24.767,1846-03-01
24.298,1846-04-01
23.829,1846-05-01
23.36,1846-06-01
22.891,1846-07-01
22.422,1846-08-01
21.954,1846-09-01
21.485,1846-10-01
21.016,1846-11-01
20.547,1846-12-01
20.078,1847-01-01
19.609,1847-02-01
19.14,1847-03-01
18.672,1847-04-01
18.203,1847-05-01
17.734,1847-06-01
17.265,1847-07-01
16.796,1847-08-01
16.327,1847-09-01
15.859,1847-10-01
15.39,1847-11-01
14.921,1847-12-01
14.452,1848-01-01
17.534,1848-02-01
20.517,1848-03-01
24.709,1848-04-01
29.302,1848-05-01
32.589,1848-06-01
34.162,1848-07-01
33.202,1848-08-01
30.016,1848-09-01
26.129,1848-10-01
20.727,1848-11-01
15.04,1848-12-01
15.082,1849-01-01
16.775,1849-02-01
21.042,1849-03-01
25.059,1849-04-01
29.192,1849-05-01
32.513,1849-06-01
33.845,1849-07-01
33.353,1849-08-01
30.613,1849-09-01
26.399,1849-10-01
20.89,1849-11-01
15.918,1849-12-01
14.701,1850-01-01
17.013,1850-02-01
20.669,1850-03-01
24.396,1850-04-01
28.254,1850-05-01
32.01,1850-06-01
34.31,1850-07-01
33.412,1850-08-01
30.528,1850-09-01
25.807,1850-10-01
19.455,1850-11-01
15.184,1850-12-01
15.444,1851-01-01
16.955,1851-02-01
20.545,1851-03-01
24.857,1851-04-01
31.047,1851-05-01
33.122,1851-06-01
34.484,1851-07-01
34.091,1851-08-01
31.023,1851-09-01
26.069,1851-10-01
20.12,1851-11-01
15.717,1851-12-01
15.155,1852-01-01
17.016,1852-02-01
20.209,1852-03-01
25.025,1852-04-01
29.941,1852-05-01
32.7,1852-06-01
34.251,1852-07-01
33.16,1852-08-01
30.708,1852-09-01
26.772,1852-10-01
19.831,1852-11-01
16.446,1852-12-01
14.624,1853-01-01
16.808,1853-02-01
20.7,1853-03-01
25.2,1853-04-01
29.799,1853-05-01
33.071,1853-06-01
34.482,1853-07-01
34.007,1853-08-01
31.0,1853-09-01
26.177,1853-10-01
20.157,1853-11-01
16.725,1853-12-01
16.632,1854-01-01
16.538,1854-02-01
16.445,1854-03-01
16.351,1854-04-01
16.258,1854-05-01
16.165,1854-06-01
16.071,1854-07-01
15.978,1854-08-01
15.885,1854-09-01
15.791,1854-10-01
15.698,1854-11-01
15.604,1854-12-01
15.511,1855-01-01
17.72,1855-02-01
21.115,1855-03-01
25.949,1855-04-01
30.445,1855-05-01
32.99,1855-06-01
33.84,1855-07-01
33.45,1855-08-01
29.919,1855-09-01
25.724,1855-10-01
20.036,1855-11-01
15.526,1855-12-01
15.558,1856-01-01
15.591,1856-02-01
15.623,1856-03-01
15.656,1856-04-01
15.688,1856-05-01
15.72,1856-06-01
15.753,1856-07-01
15.785,1856-08-01
15.818,1856-09-01
15.85,1856-10-01
15.883,1856-11-01
15.915,1856-12-01
15.368,1857-01-01
16.45,1857-02-01
19.91,1857-03-01
23.944,1857-04-01
28.925,1857-05-01
32.082,1857-06-01
33.624,1857-07-01
33.043,1857-08-01
30.506,1857-09-01
25.289,1857-10-01
19.914,1857-11-01
15.535,1857-12-01
15.162,1858-01-01
16.534,1858-02-01
21.168,1858-03-01
25.731,1858-04-01
30.081,1858-05-01
33.087,1858-06-01
33.831,1858-07-01
33.464,1858-08-01
30.065,1858-09-01
26.212,1858-10-01
22.151,1858-11-01
15.487,1858-12-01
14.034,1859-01-01
16.384,1859-02-01
21.233,1859-03-01
26.166,1859-04-01
30.753,1859-05-01
33.067,1859-06-01
33.447,1859-07-01
33.303,1859-08-01
30.983,1859-09-01
26.182,1859-10-01
20.685,1859-11-01
16.456,1859-12-01
14.933,1860-01-01
17.07,1860-02-01
19.773,1860-03-01
25.642,1860-04-01
29.809,1860-05-01
33.624,1860-06-01
34.699,1860-07-01
33.997,1860-08-01
31.539,1860-09-01
26.395,1860-10-01
20.156,1860-11-01
15.291,1860-12-01
13.644,1861-01-01
15.605,1861-02-01
20.142,1861-03-01
24.704,1861-04-01
28.73,1861-05-01
32.774,1861-06-01
33.571,1861-07-01
33.486,1861-08-01
29.946,1861-09-01
25.389,1861-10-01
20.114,1861-11-01
15.156,1861-12-01
13.516,1862-01-01
15.688,1862-02-01
20.274,1862-03-01
24.756,1862-04-01
29.773,1862-05-01
33.026,1862-06-01
33.604,1862-07-01
32.481,1862-08-01
28.888,1862-09-01
23.952,1862-10-01
19.035,1862-11-01
14.267,1862-12-01
14.182,1863-01-01
15.372,1863-02-01
20.73,1863-03-01
24.475,1863-04-01
29.865,1863-05-01
32.409,1863-06-01
34.032,1863-07-01
32.849,1863-08-01
30.377,1863-09-01
25.624,1863-10-01
20.17,1863-11-01
15.753,1863-12-01
14.076,1864-01-01
16.784,1864-02-01
20.892,1864-03-01
25.351,1864-04-01
30.039,1864-05-01
32.813,1864-06-01
34.007,1864-07-01
33.246,1864-08-01
30.924,1864-09-01
27.454,1864-10-01
21.755,1864-11-01
15.908,1864-12-01
16.344,1865-01-01
17.629,1865-02-01
21.661,1865-03-01
24.698,1865-04-01
29.12,1865-05-01
33.531,1865-06-01
34.096,1865-07-01
33.725,1865-08-01
30.619,1865-09-01
27.243,1865-10-01
21.203,1865-11-01
15.813,1865-12-01
15.449,1866-01-01
16.957,1866-02-01
20.657,1866-03-01
25.024,1866-04-01
30.278,1866-05-01
31.882,1866-06-01
34.529,1866-07-01
33.933,1866-08-01
30.813,1866-09-01
26.184,1866-10-01
20.208,1866-11-01
17.129,1866-12-01
15.059,1867-01-01
16.501,1867-02-01
21.797,1867-03-01
25.724,1867-04-01
29.836,1867-05-01
33.26,1867-06-01
33.286,1867-07-01
33.788,1867-08-01
30.982,1867-09-01
26.899,1867-10-01
21.952,1867-11-01
16.741,1867-12-01
15.145,1868-01-01
15.317,1868-02-01
21.167,1868-03-01
24.627,1868-04-01
30.835,1868-05-01
32.949,1868-06-01
34.344,1868-07-01
33.479,1868-08-01
30.737,1868-09-01
28.301,1868-10-01
19.853,1868-11-01
16.156,1868-12-01
15.896,1869-01-01
17.043,1869-02-01
21.151,1869-03-01
24.997,1869-04-01
30.314,1869-05-01
33.874,1869-06-01
34.146,1869-07-01
34.366,1869-08-01
31.431,1869-09-01
26.561,1869-10-01
20.916,1869-11-01
16.117,1869-12-01
16.258,1870-01-01
17.484,1870-02-01
21.608,1870-03-01
24.137,1870-04-01
30.952,1870-05-01
32.67,1870-06-01
34.006,1870-07-01
33.734,1870-08-01
31.286,1870-09-01
25.489,1870-10-01
20.219,1870-11-01
15.572,1870-12-01
15.471,1871-01-01
16.14,1871-02-01
20.34,1871-03-01
25.648,1871-04-01
30.308,1871-05-01
32.135,1871-06-01
33.359,1871-07-01
33.109,1871-08-01
30.68,1871-09-01
25.678,1871-10-01
19.566,1871-11-01
16.941,1871-12-01
15.146,1872-01-01
16.998,1872-02-01
21.431,1872-03-01
24.866,1872-04-01
29.311,1872-05-01
32.766,1872-06-01
34.058,1872-07-01
33.717,1872-08-01
31.565,1872-09-01
26.107,1872-10-01
20.346,1872-11-01
15.584,1872-12-01
15.159,1873-01-01
17.966,1873-02-01
21.102,1873-03-01
25.992,1873-04-01
31.3,1873-05-01
32.79,1873-06-01
33.73,1873-07-01
33.77,1873-08-01
31.112,1873-09-01
26.411,1873-10-01
20.664,1873-11-01
15.956,1873-12-01
15.1,1874-01-01
16.752,1874-02-01
18.805,1874-03-01
25.416,1874-04-01
31.192,1874-05-01
32.378,1874-06-01
33.83,1874-07-01
32.988,1874-08-01
30.816,1874-09-01
26.387,1874-10-01
21.972,1874-11-01
17.167,1874-12-01
13.621,1875-01-01
17.237,1875-02-01
20.261,1875-03-01
24.686,1875-04-01
29.341,1875-05-01
32.446,1875-06-01
33.574,1875-07-01
33.05,1875-08-01
30.22,1875-09-01
25.461,1875-10-01
19.191,1875-11-01
15.945,1875-12-01
14.557,1876-01-01
16.62,1876-02-01
21.201,1876-03-01
25.807,1876-04-01
30.397,1876-05-01
32.87,1876-06-01
33.694,1876-07-01
33.137,1876-08-01
30.947,1876-09-01
26.222,1876-10-01
20.208,1876-11-01
16.16,1876-12-01
15.196,1877-01-01
17.461,1877-02-01
22.039,1877-03-01
26.569,1877-04-01
31.029,1877-05-01
32.946,1877-06-01
34.461,1877-07-01
33.609,1877-08-01
31.113,1877-09-01
27.445,1877-10-01
21.002,1877-11-01
15.735,1877-12-01
14.586,1878-01-01
15.786,1878-02-01
21.358,1878-03-01
25.911,1878-04-01
30.28,1878-05-01
33.459,1878-06-01
35.341,1878-07-01
35.008,1878-08-01
32.139,1878-09-01
26.529,1878-10-01
21.714,1878-11-01
17.274,1878-12-01
16.15,1879-01-01
17.581,1879-02-01
20.385,1879-03-01
25.881,1879-04-01
29.79,1879-05-01
33.397,1879-06-01
34.291,1879-07-01
33.463,1879-08-01
30.976,1879-09-01
26.025,1879-10-01
20.99,1879-11-01
16.749,1879-12-01
14.42,1880-01-01
16.313,1880-02-01
20.637,1880-03-01
25.183,1880-04-01
30.084,1880-05-01
32.978,1880-06-01
34.15,1880-07-01
33.735,1880-08-01
31.158,1880-09-01
26.164,1880-10-01
21.138,1880-11-01
15.732,1880-12-01
15.919,1881-01-01
18.057,1881-02-01
20.99,1881-03-01
26.295,1881-04-01
30.773,1881-05-01
33.004,1881-06-01
34.595,1881-07-01
34.106,1881-08-01
31.723,1881-09-01
26.681,1881-10-01
21.175,1881-11-01
16.685,1881-12-01
15.482,1882-01-01
16.233,1882-02-01
20.372,1882-03-01
25.308,1882-04-01
29.635,1882-05-01
32.581,1882-06-01
33.25,1882-07-01
33.743,1882-08-01
31.523,1882-09-01
25.872,1882-10-01
19.911,1882-11-01
15.897,1882-12-01
15.43,1883-01-01
17.07,1883-02-01
20.982,1883-03-01
25.267,1883-04-01
30.111,1883-05-01
33.577,1883-06-01
33.223,1883-07-01
33.567,1883-08-01
31.245,1883-09-01
26.861,1883-10-01
20.541,1883-11-01
15.993,1883-12-01
14.987,1884-01-01
16.361,1884-02-01
20.546,1884-03-01
25.27,1884-04-01
29.167,1884-05-01
32.986,1884-06-01
33.755,1884-07-01
33.751,1884-08-01
30.534,1884-09-01
26.143,1884-10-01
19.874,1884-11-01
16.75,1884-12-01
14.966,1885-01-01
17.227,1885-02-01
20.366,1885-03-01
24.279,1885-04-01
30.243,1885-05-01
32.682,1885-06-01
34.0,1885-07-01
34.026,1885-08-01
30.934,1885-09-01
26.337,1885-10-01
21.154,1885-11-01
17.018,1885-12-01
15.382,1886-01-01
17.664,1886-02-01
20.316,1886-03-01
25.138,1886-04-01
29.935,1886-05-01
33.271,1886-06-01
34.458,1886-07-01
33.612,1886-08-01
31.082,1886-09-01
26.075,1886-10-01
19.8,1886-11-01
15.438,1886-12-01
14.523,1887-01-01
16.838,1887-02-01
19.914,1887-03-01
25.727,1887-04-01
29.044,1887-05-01
33.045,1887-06-01
33.638,1887-07-01
33.287,1887-08-01
31.166,1887-09-01
26.971,1887-10-01
20.903,1887-11-01
15.916,1887-12-01
14.748,1888-01-01
17.655,1888-02-01
21.351,1888-03-01
25.286,1888-04-01
29.309,1888-05-01
32.385,1888-06-01
34.427,1888-07-01
33.682,1888-08-01
31.419,1888-09-01
27.406,1888-10-01
20.113,1888-11-01
15.744,1888-12-01
15.427,1889-01-01
17.803,1889-02-01
22.604,1889-03-01
25.504,1889-04-01
30.661,1889-05-01
33.114,1889-06-01
34.272,1889-07-01
34.143,1889-08-01
31.796,1889-09-01
26.955,1889-10-01
19.469,1889-11-01
16.704,1889-12-01
15.024,1890-01-01
18.03,1890-02-01
21.112,1890-03-01
25.366,1890-04-01
29.816,1890-05-01
33.336,1890-06-01
33.749,1890-07-01
33.439,1890-08-01
31.166,1890-09-01
26.387,1890-10-01
20.365,1890-11-01
16.81,1890-12-01
16.088,1891-01-01
