AverageTemperature,date
7.086,1743-11-01
7.193,1743-12-01
7.299,1744-01-01
7.406,1744-02-01
7.512,1744-03-01
7.619,1744-04-01
9.339,1744-05-01
12.379,1744-06-01
13.499,1744-07-01
12.334,1744-08-01
11.17,1744-09-01
8.31,1744-10-01
6.376,1744-11-01
4.014,1744-12-01
3.17,1745-01-01
2.659,1745-02-01
3.923,1745-03-01
6.45,1745-04-01
6.406,1745-05-01
6.362,1745-06-01
6.317,1745-07-01
6.273,1745-08-01
6.229,1745-09-01
6.185,1745-10-01
6.14,1745-11-01
6.096,1745-12-01
6.052,1746-01-01
6.008,1746-02-01
5.963,1746-03-01
5.919,1746-04-01
5.875,1746-05-01
5.831,1746-06-01
5.786,1746-07-01
5.742,1746-08-01
5.698,1746-09-01
5.654,1746-10-01
5.609,1746-11-01
5.565,1746-12-01
5.521,1747-01-01
5.477,1747-02-01
5.432,1747-03-01
5.388,1747-04-01
5.344,1747-05-01
5.3,1747-06-01
5.255,1747-07-01
5.211,1747-08-01
5.167,1747-09-01
5.123,1747-10-01
5.078,1747-11-01
5.034,1747-12-01
4.99,1748-01-01
4.946,1748-02-01
4.901,1748-03-01
4.857,1748-04-01
4.813,1748-05-01
4.769,1748-06-01
4.724,1748-07-01
4.68,1748-08-01
4.636,1748-09-01
4.592,1748-10-01
4.547,1748-11-01
4.503,1748-12-01
4.459,1749-01-01
4.415,1749-02-01
4.37,1749-03-01
4.326,1749-04-01
4.282,1749-05-01
4.238,1749-06-01
4.193,1749-07-01
4.149,1749-08-01
4.105,1749-09-01
4.061,1749-10-01
4.016,1749-11-01
3.972,1749-12-01
3.928,1750-01-01
6.654,1750-02-01
7.611,1750-03-01
7.471,1750-04-01
10.242,1750-05-01
12.493,1750-06-01
15.674,1750-07-01
14.231,1750-08-01
12.257,1750-09-01
6.613,1750-10-01
5.012,1750-11-01
3.412,1750-12-01
4.016,1751-01-01
1.677,1751-02-01
6.671,1751-03-01
6.59,1751-04-01
9.698,1751-05-01
12.805,1751-06-01
14.119,1751-07-01
14.014,1751-08-01
10.763,1751-09-01
8.924,1751-10-01
7.084,1751-11-01
5.245,1751-12-01
3.406,1752-01-01
4.83,1752-02-01
6.254,1752-03-01
6.519,1752-04-01
6.857,1752-05-01
7.195,1752-06-01
7.534,1752-07-01
7.872,1752-08-01
8.21,1752-09-01
8.548,1752-10-01
7.28,1752-11-01
5.524,1752-12-01
1.987,1753-01-01
3.916,1753-02-01
7.009,1753-03-01
7.111,1753-04-01
10.227,1753-05-01
13.838,1753-06-01
14.392,1753-07-01
13.309,1753-08-01
12.073,1753-09-01
9.376,1753-10-01
5.015,1753-11-01
2.86,1753-12-01
3.517,1754-01-01
2.468,1754-02-01
3.125,1754-03-01
7.574,1754-04-01
11.067,1754-05-01
12.87,1754-06-01
13.341,1754-07-01
13.911,1754-08-01
11.396,1754-09-01
9.771,1754-10-01
6.543,1754-11-01
4.483,1754-12-01
1.115,1755-01-01
1.296,1755-02-01
4.072,1755-03-01
9.085,1755-04-01
9.81,1755-05-01
14.674,1755-06-01
14.436,1755-07-01
12.714,1755-08-01
11.02,1755-09-01
8.392,1755-10-01
5.8,1755-11-01
