AverageTemperature,date
15.42,1768-09-01
8.162,1768-10-01
1.591,1768-11-01
-2.882,1768-12-01
-3.952,1769-01-01
-2.684,1769-02-01
1.828,1769-03-01
8.843,1769-04-01
15.724,1769-05-01
20.933,1769-06-01
22.093,1769-07-01
20.787,1769-08-01
20.601,1769-09-01
20.415,1769-10-01
20.228,1769-11-01
20.042,1769-12-01
19.856,1770-01-01
19.67,1770-02-01
19.484,1770-03-01
19.298,1770-04-01
19.111,1770-05-01
18.925,1770-06-01
18.739,1770-07-01
18.553,1770-08-01
18.367,1770-09-01
18.181,1770-10-01
17.994,1770-11-01
17.808,1770-12-01
17.622,1771-01-01
17.436,1771-02-01
17.25,1771-03-01
17.063,1771-04-01
16.877,1771-05-01
16.691,1771-06-01
16.505,1771-07-01
16.319,1771-08-01
16.133,1771-09-01
15.946,1771-10-01
15.76,1771-11-01
15.574,1771-12-01
15.388,1772-01-01
15.202,1772-02-01
15.016,1772-03-01
14.829,1772-04-01
14.643,1772-05-01
14.457,1772-06-01
14.271,1772-07-01
14.085,1772-08-01
13.898,1772-09-01
13.712,1772-10-01
13.526,1772-11-01
13.34,1772-12-01
13.154,1773-01-01
12.968,1773-02-01
12.781,1773-03-01
12.595,1773-04-01
12.409,1773-05-01
12.223,1773-06-01
12.037,1773-07-01
11.85,1773-08-01
11.664,1773-09-01
11.478,1773-10-01
11.292,1773-11-01
11.106,1773-12-01
10.92,1774-01-01
10.733,1774-02-01
10.547,1774-03-01
10.361,1774-04-01
10.175,1774-05-01
9.989,1774-06-01
9.803,1774-07-01
9.616,1774-08-01
9.43,1774-09-01
9.244,1774-10-01
0.522,1774-11-01
-4.957,1774-12-01
-1.551,1775-01-01
1.506,1775-02-01
5.02,1775-03-01
7.663,1775-04-01
14.452,1775-05-01
17.684,1775-06-01
21.601,1775-07-01
20.844,1775-08-01
15.081,1775-09-01
10.256,1775-10-01
5.371,1775-11-01
-3.937,1775-12-01
-6.358,1776-01-01
-0.54,1776-02-01
1.541,1776-03-01
7.254,1776-04-01
13.545,1776-05-01
19.836,1776-06-01
20.94,1776-07-01
21.476,1776-08-01
14.999,1776-09-01
8.351,1776-10-01
2.703,1776-11-01
-0.992,1776-12-01
0.174,1777-01-01
-0.186,1777-02-01
2.504,1777-03-01
5.836,1777-04-01
13.739,1777-05-01
17.463,1777-06-01
19.176,1777-07-01
19.398,1777-08-01
15.27,1777-09-01
7.042,1777-10-01
1.882,1777-11-01
-2.641,1777-12-01
-3.402,1778-01-01
0.907,1778-02-01
5.217,1778-03-01
9.526,1778-04-01
13.835,1778-05-01
16.855,1778-06-01
14.692,1778-07-01
12.529,1778-08-01
10.366,1778-09-01
8.203,1778-10-01
0.63,1778-11-01
-3.949,1778-12-01
-5.338,1779-01-01
-0.293,1779-02-01
3.49,1779-03-01
3.851,1779-04-01
4.212,1779-05-01
4.573,1779-06-01
4.933,1779-07-01
5.294,1779-08-01
5.655,1779-09-01
6.016,1779-10-01
6.377,1779-11-01
6.738,1779-12-01
7.099,1780-01-01
7.46,1780-02-01
7.82,1780-03-01
8.181,1780-04-01
8.542,1780-05-01
8.903,1780-06-01
9.264,1780-07-01
9.625,1780-08-01
9.986,1780-09-01
10.346,1780-10-01
10.707,1780-11-01
11.068,1780-12-01
11.429,1781-01-01
11.79,1781-02-01
12.151,1781-03-01
12.512,1781-04-01
12.873,1781-05-01
13.233,1781-06-01
13.594,1781-07-01
13.955,1781-08-01
14.316,1781-09-01
9.031,1781-10-01
3.832,1781-11-01
-2.166,1781-12-01
-5.98,1782-01-01
-4.058,1782-02-01
-0.121,1782-03-01
8.792,1782-04-01
14.02,1782-05-01
19.578,1782-06-01
21.014,1782-07-01
21.007,1782-08-01
21.0,1782-09-01
20.994,1782-10-01
20.987,1782-11-01
20.98,1782-12-01
20.973,1783-01-01
20.966,1783-02-01
20.96,1783-03-01
20.953,1783-04-01
20.946,1783-05-01
20.939,1783-06-01
20.932,1783-07-01
20.925,1783-08-01
20.919,1783-09-01
20.912,1783-10-01
20.905,1783-11-01
20.898,1783-12-01
20.891,1784-01-01
20.885,1784-02-01
