,dt,AverageTemperature,Country
0,1796-01-01,17.044,India
1,1796-02-01,19.193,India
2,1796-03-01,22.319000000000003,India
3,1796-04-01,27.233,India
4,1796-05-01,30.035,India
5,1796-06-01,29.261,India
6,1796-07-01,26.8,India
7,1796-08-01,26.558000000000003,India
8,1796-09-01,25.958,India
9,1796-10-01,24.031,India
10,1796-11-01,20.186,India
11,1796-12-01,15.485,India
12,1797-01-01,,India
13,1797-02-01,,India
14,1797-03-01,22.879,India
15,1797-04-01,26.502,India
16,1797-05-01,29.364,India
17,1797-06-01,29.88,India
18,1797-07-01,26.891,India
19,1797-08-01,26.716,India
20,1797-09-01,26.072,India
21,1797-10-01,23.67,India
22,1797-11-01,19.323,India
23,1797-12-01,17.102,India
24,1798-01-01,17.226000000000006,India
25,1798-02-01,19.525,India
26,1798-03-01,24.328000000000003,India
27,1798-04-01,,India
28,1798-05-01,,India
29,1798-06-01,29.369,India
30,1798-07-01,27.968000000000004,India
31,1798-08-01,27.009,India
32,1798-09-01,25.973000000000003,India
33,1798-10-01,23.898000000000003,India
34,1798-11-01,20.709,India
35,1798-12-01,16.727999999999998,India
36,1799-01-01,16.648,India
37,1799-02-01,17.976,India
38,1799-03-01,23.08,India
39,1799-04-01,27.996,India
40,1799-05-01,30.217,India
41,1799-06-01,29.86,India
42,1799-07-01,27.178,India
43,1799-08-01,26.674,India
44,1799-09-01,26.105,India
45,1799-10-01,24.597,India
46,1799-11-01,20.158,India
47,1799-12-01,16.904,India
48,1800-01-01,17.081,India
49,1800-02-01,19.78,India
50,1800-03-01,22.938,India
51,1800-04-01,28.458,India
52,1800-05-01,29.372,India
53,1800-06-01,29.261,India
54,1800-07-01,26.494,India
55,1800-08-01,26.06900000000001,India
56,1800-09-01,24.999,India
57,1800-10-01,24.318,India
58,1800-11-01,20.625,India
59,1800-12-01,17.548000000000002,India
60,1801-01-01,17.433,India
61,1801-02-01,18.868,India
62,1801-03-01,25.084,India
63,1801-04-01,,India
64,1801-05-01,,India
65,1801-06-01,28.652,India
66,1801-07-01,27.272,India
67,1801-08-01,26.075000000000006,India
68,1801-09-01,25.598000000000003,India
69,1801-10-01,24.001,India
70,1801-11-01,20.492,India
71,1801-12-01,18.276,India
72,1802-01-01,17.904,India
73,1802-02-01,19.734,India
74,1802-03-01,24.829,India
75,1802-04-01,27.816,India
76,1802-05-01,29.209,India
77,1802-06-01,30.397,India
78,1802-07-01,27.826,India
79,1802-08-01,26.581,India
80,1802-09-01,26.699,India
81,1802-10-01,24.564,India
82,1802-11-01,20.258,India
83,1802-12-01,16.795,India
84,1803-01-01,15.603000000000002,India
85,1803-02-01,18.271,India
86,1803-03-01,23.323,India
87,1803-04-01,28.265,India
88,1803-05-01,30.257,India
89,1803-06-01,29.643,India
90,1803-07-01,27.876,India
91,1803-08-01,27.790000000000006,India
92,1803-09-01,26.732,India
93,1803-10-01,24.31900000000001,India
94,1803-11-01,20.749,India
95,1803-12-01,16.921,India
96,1804-01-01,17.442999999999998,India
97,1804-02-01,19.11,India
98,1804-03-01,23.215,India
99,1804-04-01,29.131,India
100,1804-05-01,30.692,India
101,1804-06-01,29.952,India
102,1804-07-01,28.69400000000001,India
103,1804-08-01,26.788,India
104,1804-09-01,26.513,India
105,1804-10-01,24.164,India
106,1804-11-01,21.624,India
107,1804-12-01,16.583000000000002,India
108,1805-01-01,17.173000000000002,India
109,1805-02-01,19.036,India
110,1805-03-01,23.942,India
111,1805-04-01,27.034,India
112,1805-05-01,30.077,India
113,1805-06-01,29.959,India
114,1805-07-01,27.06900000000001,India
115,1805-08-01,27.213,India
116,1805-09-01,25.936,India
117,1805-10-01,22.831,India
118,1805-11-01,19.951,India
119,1805-12-01,18.085,India
120,1806-01-01,17.092000000000002,India
121,1806-02-01,19.019,India
122,1806-03-01,23.013,India
123,1806-04-01,27.359,India
124,1806-05-01,29.971,India
125,1806-06-01,28.054,India
126,1806-07-01,26.995,India
127,1806-08-01,26.888,India
128,1806-09-01,26.855,India
129,1806-10-01,23.754,India
130,1806-11-01,20.452,India
131,1806-12-01,17.662000000000006,India
132,1807-01-01,15.975,India
133,1807-02-01,18.799,India
134,1807-03-01,,India
135,1807-04-01,,India
136,1807-05-01,27.873,India
137,1807-06-01,29.541,India
138,1807-07-01,27.631,India
139,1807-08-01,26.447000000000006,India
140,1807-09-01,26.465,India
141,1807-10-01,23.586,India
142,1807-11-01,20.375,India
143,1807-12-01,18.304,India
144,1808-01-01,,India
145,1808-02-01,,India
146,1808-03-01,,India
147,1808-04-01,,India
148,1808-05-01,,India
149,1808-06-01,,India
150,1808-07-01,,India
151,1808-08-01,,India
152,1808-09-01,,India
153,1808-10-01,,India
154,1808-11-01,,India
155,1808-12-01,,India
156,1809-01-01,,India
157,1809-02-01,,India
158,1809-03-01,,India
159,1809-04-01,,India
160,1809-05-01,,India
161,1809-06-01,,India
162,1809-07-01,,India
163,1809-08-01,,India
164,1809-09-01,,India
165,1809-10-01,,India
166,1809-11-01,,India
167,1809-12-01,,India
168,1810-01-01,,India
169,1810-02-01,,India
170,1810-03-01,,India
171,1810-04-01,,India
172,1810-05-01,,India
173,1810-06-01,,India
174,1810-07-01,,India
175,1810-08-01,,India
176,1810-09-01,,India
177,1810-10-01,,India
178,1810-11-01,,India
179,1810-12-01,,India
180,1811-01-01,,India
181,1811-02-01,,India
182,1811-03-01,,India
183,1811-04-01,,India
184,1811-05-01,,India
185,1811-06-01,,India
186,1811-07-01,,India
187,1811-08-01,,India
188,1811-09-01,,India
189,1811-10-01,,India
